"14 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,2.15407
251.00,2.09509
252.00,2.04039
253.00,1.98485
254.00,1.93767
255.00,1.89093
256.00,1.84790
257.00,1.80429
258.00,1.76671
259.00,1.73413
260.00,1.69331
261.00,1.65987
262.00,1.63131
263.00,1.60281
264.00,1.57642
265.00,1.55298
266.00,1.53237
267.00,1.51358
268.00,1.49437
269.00,1.47504
270.00,1.45437
271.00,1.43867
272.00,1.41931
273.00,1.40131
274.00,1.38019
275.00,1.36323
276.00,1.34348
277.00,1.32500
278.00,1.30240
279.00,1.28579
280.00,1.26668
281.00,1.24924
282.00,1.23067
283.00,1.21175
284.00,1.19265
285.00,1.17224
286.00,1.15653
287.00,1.14022
288.00,1.11958
289.00,1.10438
290.00,1.08907
291.00,1.07648
292.00,1.06306
293.00,1.05221
294.00,1.04337
295.00,1.03311
296.00,1.02739
297.00,1.02094
298.00,1.02021
299.00,1.01858
300.00,1.01796
301.00,1.01770
302.00,1.01746
303.00,1.01763
304.00,1.01410
305.00,1.01203
306.00,1.00406
307.00,0.99790
308.00,0.98701
309.00,0.97365
310.00,0.96084
311.00,0.96909
312.00,0.94513
313.00,0.93649
314.00,0.92017
315.00,0.89679
316.00,0.88300
317.00,0.86552
318.00,0.84380
319.00,0.83293
320.00,0.81621
321.00,0.80152
322.00,0.78983
323.00,0.77575
324.00,0.76280
325.00,0.75295
326.00,0.74051
327.00,0.72665
328.00,0.71549
329.00,0.70299
330.00,0.69694
331.00,0.68107
332.00,0.67711
333.00,0.66644
334.00,0.66166
335.00,0.65510
336.00,0.65109
337.00,0.64611
338.00,0.64831
339.00,0.64575
340.00,0.64551
341.00,0.64687
342.00,0.64500
343.00,0.64355
344.00,0.64101
345.00,0.64115
346.00,0.63825
347.00,0.64154
348.00,0.63759
349.00,0.64157
350.00,0.64013
351.00,0.64269
352.00,0.64319
353.00,0.64397
354.00,0.64556
355.00,0.64144
356.00,0.63940
357.00,0.63175
358.00,0.62600
359.00,0.61398
360.00,0.60185
361.00,0.58335
362.00,0.56970
363.00,0.55392
364.00,0.53493
365.00,0.51911
366.00,0.50293
367.00,0.48628
368.00,0.47312
369.00,0.46184
370.00,0.44786
371.00,0.44058
372.00,0.43327
373.00,0.43033
374.00,0.42712
375.00,0.42564
376.00,0.42937
377.00,0.43395
378.00,0.44236
379.00,0.44986
380.00,0.46011
381.00,0.46947
382.00,0.47683
383.00,0.48330
384.00,0.48522
385.00,0.48530
386.00,0.48359
387.00,0.47689
388.00,0.46519
389.00,0.45487
390.00,0.43965
391.00,0.42480
392.00,0.40794
393.00,0.39317
394.00,0.37706
395.00,0.36030
396.00,0.34662
397.00,0.33278
398.00,0.32404
399.00,0.31486
400.00,0.31239
401.00,0.31102
402.00,0.31550
403.00,0.32226
404.00,0.33502
405.00,0.35092
406.00,0.37319
407.00,0.39514
408.00,0.42101
409.00,0.44602
410.00,0.47655
411.00,0.49808
412.00,0.51977
413.00,0.53765
414.00,0.55253
415.00,0.56514
416.00,0.57361
417.00,0.57922
418.00,0.57967
419.00,0.57668
420.00,0.56585
421.00,0.55457
422.00,0.53193
423.00,0.50873
424.00,0.48065
425.00,0.44716
426.00,0.41438
427.00,0.37651
428.00,0.34113
429.00,0.30036
430.00,0.26779
431.00,0.23172
432.00,0.20189
433.00,0.17400
434.00,0.15194
435.00,0.12882
436.00,0.11222
437.00,0.09634
438.00,0.08527
439.00,0.07518
440.00,0.06767
441.00,0.06512
442.00,0.05743
443.00,0.05669
444.00,0.05223
445.00,0.05077
446.00,0.04924
447.00,0.04720
448.00,0.04766
449.00,0.04517
450.00,0.04640
451.00,0.04418
452.00,0.04618
453.00,0.04441
454.00,0.04419
455.00,0.04425
456.00,0.04412
457.00,0.04508
458.00,0.04212
459.00,0.04428
460.00,0.04287
461.00,0.04463
462.00,0.04365
463.00,0.04310
464.00,0.04369
465.00,0.04188
466.00,0.04411
467.00,0.04189
468.00,0.04457
469.00,0.04093
470.00,0.04350
471.00,0.04254
472.00,0.04269
473.00,0.04394
474.00,0.04181
475.00,0.04362
476.00,0.04191
477.00,0.04474
478.00,0.04159
479.00,0.04393
480.00,0.04264
481.00,0.04251
482.00,0.04322
483.00,0.04121
484.00,0.04431
485.00,0.04246
486.00,0.04300
487.00,0.04153
488.00,0.04241
489.00,0.04279
490.00,0.04256
491.00,0.04223
492.00,0.04173
493.00,0.04283
494.00,0.04073
495.00,0.04228
496.00,0.04078
497.00,0.04217
498.00,0.04044
499.00,0.04230
500.00,0.04103
