"2 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,3.98905
251.00,4.09546
252.00,3.92721
253.00,3.95382
254.00,3.97416
255.00,3.83919
256.00,3.93586
257.00,3.91725
258.00,3.98567
259.00,3.81879
260.00,4.02255
261.00,4.02770
262.00,4.00875
263.00,3.94464
264.00,3.94333
265.00,3.99502
266.00,3.89139
267.00,3.85678
268.00,4.19580
269.00,3.88486
270.00,4.05345
271.00,3.97842
272.00,3.99397
273.00,4.01753
274.00,3.90717
275.00,3.91530
276.00,4.10989
277.00,4.02508
278.00,4.07081
279.00,4.15232
280.00,4.04505
281.00,4.04516
282.00,4.05660
283.00,4.06451
284.00,4.26321
285.00,4.10010
286.00,4.09914
287.00,3.94655
288.00,3.93115
289.00,3.97076
290.00,4.08753
291.00,4.07014
292.00,4.06667
293.00,4.08425
294.00,4.19740
295.00,3.96231
296.00,3.97069
297.00,4.00016
298.00,3.96075
299.00,3.78536
300.00,3.76749
301.00,3.73803
302.00,3.71776
303.00,3.76642
304.00,3.68839
305.00,3.55349
306.00,3.66771
307.00,3.59223
308.00,3.52749
309.00,3.46775
310.00,3.35437
311.00,3.24039
312.00,3.64587
313.00,3.68817
314.00,3.14065
315.00,2.96733
316.00,3.02911
317.00,2.98154
318.00,2.91007
319.00,2.88386
320.00,2.90053
321.00,2.92374
322.00,2.85024
323.00,2.93813
324.00,2.88435
325.00,2.91730
326.00,2.86390
327.00,2.92123
328.00,2.96675
329.00,2.92819
330.00,2.93537
331.00,2.91018
332.00,2.88949
333.00,2.87220
334.00,2.79664
335.00,2.81735
336.00,2.85496
337.00,2.84173
338.00,2.82645
339.00,2.81471
340.00,2.81701
341.00,2.78132
342.00,2.72907
343.00,2.69631
344.00,2.62658
345.00,2.55313
346.00,2.47039
347.00,2.39929
348.00,2.31590
349.00,2.22483
350.00,2.14138
351.00,2.06601
352.00,1.99500
353.00,1.93615
354.00,1.88922
355.00,1.84423
356.00,1.81515
357.00,1.79613
358.00,1.78473
359.00,1.78777
360.00,1.80445
361.00,1.82482
362.00,1.85514
363.00,1.89862
364.00,1.94462
365.00,1.97960
366.00,2.03507
367.00,2.07986
368.00,2.09952
369.00,2.12362
370.00,2.11311
371.00,2.09289
372.00,2.04107
373.00,1.96998
374.00,1.89653
375.00,1.80050
376.00,1.71098
377.00,1.61177
378.00,1.52210
379.00,1.43771
380.00,1.36213
381.00,1.29671
382.00,1.24618
383.00,1.21011
384.00,1.18655
385.00,1.17922
386.00,1.18435
387.00,1.21026
388.00,1.25249
389.00,1.31398
390.00,1.39377
391.00,1.50254
392.00,1.62272
393.00,1.76497
394.00,1.92385
395.00,2.09470
396.00,2.24849
397.00,2.41007
398.00,2.54171
399.00,2.66305
400.00,2.71992
401.00,2.77482
402.00,2.79112
403.00,2.79008
404.00,2.76151
405.00,2.69430
406.00,2.61906
407.00,2.52894
408.00,2.40807
409.00,2.27106
410.00,2.10882
411.00,1.93188
412.00,1.73879
413.00,1.53796
414.00,1.34623
415.00,1.15541
416.00,0.97645
417.00,0.81630
418.00,0.67147
419.00,0.54686
420.00,0.43790
421.00,0.35770
422.00,0.28282
423.00,0.22940
424.00,0.18386
425.00,0.15117
426.00,0.12479
427.00,0.10597
428.00,0.09160
429.00,0.08032
430.00,0.07366
431.00,0.06726
432.00,0.06394
433.00,0.06041
434.00,0.05875
435.00,0.05711
436.00,0.05494
437.00,0.05509
438.00,0.05294
439.00,0.05290
440.00,0.05175
441.00,0.05195
442.00,0.05150
443.00,0.05046
444.00,0.05099
445.00,0.04907
446.00,0.05061
447.00,0.04701
448.00,0.05011
449.00,0.04726
450.00,0.04895
451.00,0.04662
452.00,0.04777
453.00,0.04696
454.00,0.04595
455.00,0.04715
456.00,0.04504
457.00,0.04684
458.00,0.04384
459.00,0.04648
460.00,0.04443
461.00,0.04596
462.00,0.04485
463.00,0.04434
464.00,0.04441
465.00,0.04234
466.00,0.04407
467.00,0.04171
468.00,0.04381
469.00,0.04152
470.00,0.04329
471.00,0.04186
472.00,0.04185
473.00,0.04177
474.00,0.04121
475.00,0.04237
476.00,0.04025
477.00,0.04240
478.00,0.03946
479.00,0.04187
480.00,0.03966
481.00,0.03965
482.00,0.04054
483.00,0.03849
484.00,0.04097
485.00,0.03893
486.00,0.03962
487.00,0.03797
488.00,0.03946
489.00,0.03844
490.00,0.03842
491.00,0.03828
492.00,0.03678
493.00,0.03933
494.00,0.03663
495.00,0.03829
496.00,0.03610
497.00,0.03714
498.00,0.03678
499.00,0.03653
500.00,0.03740
