"0 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,3.77673
251.00,3.70996
252.00,3.72703
253.00,3.76257
254.00,3.72485
255.00,3.83263
256.00,3.84424
257.00,3.77863
258.00,3.88148
259.00,3.83525
260.00,3.86767
261.00,3.81395
262.00,3.71550
263.00,3.72736
264.00,3.58209
265.00,3.70121
266.00,3.72713
267.00,3.72116
268.00,3.62427
269.00,3.62883
270.00,3.70908
271.00,3.64947
272.00,3.55285
273.00,3.55332
274.00,3.56012
275.00,3.58718
276.00,3.49628
277.00,3.55096
278.00,3.51313
279.00,3.48249
280.00,3.51107
281.00,3.45795
282.00,3.42669
283.00,3.38871
284.00,3.38434
285.00,3.38747
286.00,3.38792
287.00,3.34289
288.00,3.30710
289.00,3.30627
290.00,3.26364
291.00,3.21347
292.00,3.16873
293.00,3.11444
294.00,3.04162
295.00,2.99714
296.00,2.91984
297.00,2.87320
298.00,2.83840
299.00,2.80482
300.00,2.76617
301.00,2.75129
302.00,2.73917
303.00,2.74037
304.00,2.71341
305.00,2.74239
306.00,2.73831
307.00,2.74759
308.00,2.72719
309.00,2.67175
310.00,2.60221
311.00,2.61819
312.00,2.54660
313.00,2.42654
314.00,2.33788
315.00,2.25789
316.00,2.19082
317.00,2.12657
318.00,2.09651
319.00,2.05850
320.00,2.04510
321.00,2.05350
322.00,2.05729
323.00,2.07606
324.00,2.07732
325.00,2.08514
326.00,2.08118
327.00,2.06357
328.00,2.06173
329.00,2.04797
330.00,2.04517
331.00,2.01580
332.00,2.00450
333.00,1.98410
334.00,1.96458
335.00,1.94473
336.00,1.93806
337.00,1.92124
338.00,1.90457
339.00,1.88322
340.00,1.85906
341.00,1.83073
342.00,1.78929
343.00,1.74653
344.00,1.69729
345.00,1.65271
346.00,1.59711
347.00,1.54928
348.00,1.49767
349.00,1.45215
350.00,1.40431
351.00,1.36774
352.00,1.33565
353.00,1.31112
354.00,1.29355
355.00,1.28361
356.00,1.28300
357.00,1.28566
358.00,1.29562
359.00,1.31019
360.00,1.33073
361.00,1.35234
362.00,1.37802
363.00,1.39850
364.00,1.42469
365.00,1.44287
366.00,1.45348
367.00,1.46244
368.00,1.45651
369.00,1.44242
370.00,1.41258
371.00,1.37398
372.00,1.32471
373.00,1.26658
374.00,1.20673
375.00,1.14029
376.00,1.08245
377.00,1.02303
378.00,0.97642
379.00,0.93506
380.00,0.90728
381.00,0.87866
382.00,0.87280
383.00,0.87458
384.00,0.88556
385.00,0.91135
386.00,0.94591
387.00,0.99594
388.00,1.05407
389.00,1.12549
390.00,1.20345
391.00,1.29763
392.00,1.39435
393.00,1.49636
394.00,1.59735
395.00,1.69940
396.00,1.78060
397.00,1.85371
398.00,1.90223
399.00,1.93043
400.00,1.93468

