"22 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,0.60401
251.00,0.58762
252.00,0.56779
253.00,0.55495
254.00,0.53960
255.00,0.52684
256.00,0.51338
257.00,0.50246
258.00,0.49271
259.00,0.48291
260.00,0.47302
261.00,0.46496
262.00,0.45687
263.00,0.44798
264.00,0.43941
265.00,0.43217
266.00,0.42521
267.00,0.41888
268.00,0.41227
269.00,0.40557
270.00,0.39931
271.00,0.39353
272.00,0.38904
273.00,0.38201
274.00,0.37748
275.00,0.36906
276.00,0.36553
277.00,0.35996
278.00,0.35581
279.00,0.35174
280.00,0.34754
281.00,0.34429
282.00,0.34028
283.00,0.33594
284.00,0.33205
285.00,0.32701
286.00,0.32171
287.00,0.31861
288.00,0.31338
289.00,0.30842
290.00,0.30257
291.00,0.30011
292.00,0.29392
293.00,0.28987
294.00,0.28556
295.00,0.28157
296.00,0.27718
297.00,0.27214
298.00,0.26918
299.00,0.26471
300.00,0.26160
301.00,0.25914
302.00,0.25607
303.00,0.25272
304.00,0.24942
305.00,0.24696
306.00,0.24390
307.00,0.24116
308.00,0.24006
309.00,0.23816
310.00,0.23677
311.00,0.24191
312.00,0.23872
313.00,0.24016
314.00,0.23887
315.00,0.24016
316.00,0.23833
317.00,0.23784
318.00,0.23586
319.00,0.23610
320.00,0.23093
321.00,0.23418
322.00,0.23115
323.00,0.23024
324.00,0.22785
325.00,0.22432
326.00,0.22612
327.00,0.22083
328.00,0.21774
329.00,0.21597
330.00,0.21115
331.00,0.20651
332.00,0.20700
333.00,0.19995
334.00,0.19988
335.00,0.19315
336.00,0.19260
337.00,0.18701
338.00,0.18559
339.00,0.18253
340.00,0.18123
341.00,0.17730
342.00,0.17423
343.00,0.17417
344.00,0.16987
345.00,0.16985
346.00,0.16436
347.00,0.16441
348.00,0.16244
349.00,0.16099
350.00,0.15875
351.00,0.15859
352.00,0.15897
353.00,0.15563
354.00,0.15767
355.00,0.15613
356.00,0.15712
357.00,0.15499
358.00,0.15559
359.00,0.15573
360.00,0.15615
361.00,0.15767
362.00,0.15835
363.00,0.16034
364.00,0.15650
365.00,0.15784
366.00,0.15859
367.00,0.15750
368.00,0.15468
369.00,0.15636
370.00,0.15378
371.00,0.15455
372.00,0.14969
373.00,0.14921
374.00,0.14552
375.00,0.14131
376.00,0.13920
377.00,0.13553
378.00,0.13197
379.00,0.12994
380.00,0.12611
381.00,0.12317
382.00,0.12037
383.00,0.11881
384.00,0.11484
385.00,0.11356
386.00,0.11076
387.00,0.11251
388.00,0.11121
389.00,0.11174
390.00,0.11092
391.00,0.11474
392.00,0.11304
393.00,0.11715
394.00,0.11606
395.00,0.11779
396.00,0.11835
397.00,0.11838
398.00,0.11992
399.00,0.11691
400.00,0.11854
401.00,0.11481
402.00,0.11540
403.00,0.11121
404.00,0.10880
405.00,0.10395
406.00,0.10326
407.00,0.09772
408.00,0.09548
409.00,0.09116
410.00,0.09037
411.00,0.08863
412.00,0.08636
413.00,0.08739
414.00,0.08475
415.00,0.08837
416.00,0.08815
417.00,0.09296
418.00,0.09520
419.00,0.10128
420.00,0.10329
421.00,0.11016
422.00,0.11084
423.00,0.11828
424.00,0.12089
425.00,0.12518
426.00,0.12853
427.00,0.13172
428.00,0.13408
429.00,0.13232
430.00,0.13465
431.00,0.12938
432.00,0.12895
433.00,0.12243
434.00,0.11871
435.00,0.11406
436.00,0.10755
437.00,0.10021
438.00,0.09379
439.00,0.08409
440.00,0.07690
441.00,0.06774
442.00,0.06129
443.00,0.05155
444.00,0.04666
445.00,0.03797
446.00,0.03495
447.00,0.02675
448.00,0.02553
449.00,0.02093
450.00,0.01848
451.00,0.01715
452.00,0.01511
453.00,0.01564
454.00,0.01146
455.00,0.01423
456.00,0.01121
457.00,0.01201
458.00,0.01069
459.00,0.01035
460.00,0.01141
461.00,0.00954
462.00,0.01280
463.00,0.00875
464.00,0.01123
465.00,0.00783
466.00,0.01125
467.00,0.00870
468.00,0.01015
469.00,0.00888
470.00,0.00888
471.00,0.01037
472.00,0.00793
473.00,0.01141
474.00,0.00785
475.00,0.01085
476.00,0.00840
477.00,0.01066
478.00,0.00855
479.00,0.00923
480.00,0.01025
481.00,0.00808
482.00,0.01095
483.00,0.00787
484.00,0.01116
485.00,0.00955
486.00,0.00986
487.00,0.00994
488.00,0.00840
489.00,0.01132
490.00,0.00793
491.00,0.01083
492.00,0.00801
493.00,0.01114
494.00,0.00950
495.00,0.00937
496.00,0.01056
497.00,0.00869
498.00,0.01066
499.00,0.00839
500.00,0.01073
