"6 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,1.01487
251.00,0.98905
252.00,0.96489
253.00,0.94308
254.00,0.92222
255.00,0.89997
256.00,0.88213
257.00,0.86363
258.00,0.84907
259.00,0.83383
260.00,0.81794
261.00,0.80270
262.00,0.78918
263.00,0.77386
264.00,0.76045
265.00,0.74849
266.00,0.73506
267.00,0.72339
268.00,0.71184
269.00,0.69945
270.00,0.68698
271.00,0.67598
272.00,0.66607
273.00,0.65324
274.00,0.64272
275.00,0.63087
276.00,0.62406
277.00,0.61443
278.00,0.60834
279.00,0.60046
280.00,0.59511
281.00,0.59016
282.00,0.58720
283.00,0.58229
284.00,0.57848
285.00,0.57524
286.00,0.57262
287.00,0.57297
288.00,0.56958
289.00,0.56888
290.00,0.56576
291.00,0.56220
292.00,0.55726
293.00,0.55306
294.00,0.54722
295.00,0.53984
296.00,0.53161
297.00,0.52542
298.00,0.51968
299.00,0.51065
300.00,0.50417
301.00,0.49730
302.00,0.48938
303.00,0.48363
304.00,0.47665
305.00,0.47163
306.00,0.46377
307.00,0.45761
308.00,0.45073
309.00,0.44246
310.00,0.43508
311.00,0.43563
312.00,0.42600
313.00,0.42236
314.00,0.40859
315.00,0.39986
316.00,0.38830
317.00,0.38088
318.00,0.37441
319.00,0.36937
320.00,0.35972
321.00,0.35780
322.00,0.35286
323.00,0.34690
324.00,0.34814
325.00,0.34448
326.00,0.34283
327.00,0.33948
328.00,0.33926
329.00,0.33970
330.00,0.33901
331.00,0.33445
332.00,0.33593
333.00,0.33457
334.00,0.33539
335.00,0.33535
336.00,0.33626
337.00,0.33631
338.00,0.33961
339.00,0.33990
340.00,0.34157
341.00,0.34225
342.00,0.34034
343.00,0.33652
344.00,0.33591
345.00,0.33025
346.00,0.32557
347.00,0.32205
348.00,0.31363
349.00,0.30732
350.00,0.29814
351.00,0.29085
352.00,0.28289
353.00,0.27536
354.00,0.26727
355.00,0.25928
356.00,0.25163
357.00,0.24346
358.00,0.23769
359.00,0.23059
360.00,0.22725
361.00,0.22211
362.00,0.22104
363.00,0.22047
364.00,0.22035
365.00,0.22165
366.00,0.22527
367.00,0.22835
368.00,0.23236
369.00,0.23674
370.00,0.24088
371.00,0.24538
372.00,0.24686
373.00,0.25059
374.00,0.24766
375.00,0.24745
376.00,0.24568
377.00,0.24051
378.00,0.23546
379.00,0.23089
380.00,0.22316
381.00,0.21405
382.00,0.20632
383.00,0.19776
384.00,0.18859
385.00,0.17823
386.00,0.17232
387.00,0.16527
388.00,0.16027
389.00,0.15669
390.00,0.15344
391.00,0.15487
392.00,0.15714
393.00,0.16244
394.00,0.17157
395.00,0.18107
396.00,0.19433
397.00,0.20752
398.00,0.22467
399.00,0.24029
400.00,0.25542
401.00,0.27118
402.00,0.28574
403.00,0.29687
404.00,0.30741
405.00,0.31427
406.00,0.31912
407.00,0.32049
408.00,0.32063
409.00,0.31706
410.00,0.31171
411.00,0.30337
412.00,0.29060
413.00,0.27684
414.00,0.26050
415.00,0.24252
416.00,0.22302
417.00,0.20362
418.00,0.18535
419.00,0.16456
420.00,0.14566
421.00,0.12874
422.00,0.11185
423.00,0.09638
424.00,0.08429
425.00,0.07140
426.00,0.06233
427.00,0.05512
428.00,0.04802
429.00,0.04310
430.00,0.03957
431.00,0.03641
432.00,0.03388
433.00,0.03288
434.00,0.03186
435.00,0.03178
436.00,0.02960
437.00,0.03040
438.00,0.02882
439.00,0.02946
440.00,0.02807
441.00,0.02814
442.00,0.02885
443.00,0.02776
444.00,0.02922
445.00,0.02661
446.00,0.02920
447.00,0.02668
448.00,0.02834
449.00,0.02695
450.00,0.02757
451.00,0.02730
452.00,0.02666
453.00,0.02821
454.00,0.02512
455.00,0.02803
456.00,0.02536
457.00,0.02762
458.00,0.02554
459.00,0.02648
460.00,0.02743
461.00,0.02576
462.00,0.02815
463.00,0.02438
464.00,0.02741
465.00,0.02394
466.00,0.02591
467.00,0.02513
468.00,0.02562
469.00,0.02492
470.00,0.02393
471.00,0.02650
472.00,0.02336
473.00,0.02700
474.00,0.02325
475.00,0.02540
476.00,0.02377
477.00,0.02505
478.00,0.02475
479.00,0.02420
480.00,0.02579
481.00,0.02307
482.00,0.02578
483.00,0.02284
484.00,0.02551
485.00,0.02445
486.00,0.02340
487.00,0.02493
488.00,0.02268
489.00,0.02596
490.00,0.02274
491.00,0.02471
492.00,0.02268
493.00,0.02543
494.00,0.02344
495.00,0.02293
496.00,0.02444
497.00,0.02256
498.00,0.02361
499.00,0.02284
500.00,0.02466
