"26min - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,1.83612
250.50,1.83537
251.00,1.88526
251.50,2.04998
252.00,2.34757
252.50,2.51229
253.00,2.47568
253.50,2.35015
254.00,2.23038
254.50,2.29425
255.00,2.16649
255.50,2.58518
256.00,2.78140
256.50,3.21852
257.00,2.21984
257.50,2.26292
258.00,2.24553
258.50,2.93252
259.00,2.37540
259.50,2.51596
260.00,2.39076
260.50,2.66809
261.00,2.58974
261.50,2.81647
262.00,3.03742
262.50,3.11274
263.00,2.76274
263.50,3.01806
264.00,2.77356
264.50,2.64510
265.00,2.62816
265.50,2.85641
266.00,2.74711
266.50,2.70848
267.00,2.80730
267.50,3.14826
268.00,3.05477
268.50,2.88944
269.00,2.93945
269.50,2.71748
270.00,2.72689
270.50,2.90802
271.00,3.03037
271.50,2.95863
272.00,2.85055
272.50,3.00621
273.00,3.03957
273.50,2.69272
274.00,2.69559
274.50,2.87638
275.00,3.03136
275.50,2.89509
276.00,2.91835
276.50,3.32894
277.00,3.99308
277.50,3.59523
278.00,3.10287
278.50,3.03834
279.00,3.40618
279.50,3.85855
280.00,3.98887
280.50,3.22292
281.00,3.06252
281.50,3.21367
282.00,2.97016
282.50,3.13519
283.00,3.11854
283.50,3.32478
284.00,3.09837
284.50,3.19359
285.00,3.26049
285.50,3.29223
286.00,3.28651
286.50,3.18584
287.00,3.16750
287.50,3.07436
288.00,3.07892
288.50,3.04963
289.00,3.13650
289.50,3.75648
290.00,6.00000
290.50,5.05400
291.00,3.36422
291.50,3.33435
292.00,3.51745
292.50,3.80028
293.00,4.04369
293.50,3.76920
294.00,3.50483
294.50,3.47179
295.00,3.56135
295.50,3.62563
296.00,3.60952
296.50,3.42511
297.00,3.44818
297.50,3.56573
298.00,4.07913
298.50,3.69683
299.00,3.69217
299.50,3.39966
300.00,3.51445
300.50,3.37850
301.00,3.72722
301.50,3.71850
302.00,3.73208
302.50,3.57030
303.00,3.85070
303.50,4.33295
304.00,4.46695
304.50,3.65046
305.00,4.14597
305.50,3.55147
306.00,3.60289
306.50,3.50523
307.00,3.57020
307.50,3.83183
308.00,3.66395
308.50,4.13430
309.00,3.65659
309.50,3.66947
310.00,3.56460
310.50,3.81909
311.00,3.70793
311.50,3.90978
312.00,3.72231
312.50,3.63118
313.00,3.63825
313.50,3.56278
314.00,3.63781
314.50,3.54470
315.00,3.67651
315.50,3.71930
316.00,3.59567
316.50,3.49068
317.00,3.47601
317.50,3.45922
318.00,3.72045
318.50,3.69167
319.00,3.94011
319.50,3.56059
320.00,3.52261
320.50,3.51304
321.00,3.57752
321.50,3.58812
322.00,3.56033
322.50,3.60739
323.00,3.59368
323.50,3.57677
324.00,3.58514
324.50,3.56683
325.00,3.50815
325.50,3.43446
326.00,3.36245
326.50,3.37012
327.00,3.34297
327.50,3.31649
328.00,3.26214
328.50,3.24725
329.00,3.23483
329.50,3.20090
330.00,3.17430
330.50,3.16783
331.00,3.15554
331.50,3.11786
332.00,3.08977
332.50,3.06654
333.00,3.05524
333.50,3.03935
334.00,3.01947
334.50,2.98119
335.00,2.97339
335.50,2.95272
336.00,2.94216
336.50,2.91806
337.00,2.89432
337.50,2.87610
338.00,2.84908
338.50,2.83167
339.00,2.81938
339.50,2.80782
340.00,2.79600
340.50,2.77237
341.00,2.75788
341.50,2.73806
342.00,2.72618
342.50,2.71336
343.00,2.70607
343.50,2.69077
344.00,2.67774
344.50,2.65579
345.00,2.64018
345.50,2.62628
346.00,2.61378
346.50,2.61366
347.00,2.60214
347.50,2.60093
348.00,2.58531
348.50,2.58437
349.00,2.57813
349.50,2.58179
350.00,2.57407
350.50,2.56918
351.00,2.56105
351.50,2.56209
352.00,2.56018
352.50,2.55974
353.00,2.56068
353.50,2.55816
354.00,2.55557
354.50,2.54862
355.00,2.55227
355.50,2.55181
356.00,2.55418
356.50,2.54727
357.00,2.54664
357.50,2.54265
358.00,2.55116
358.50,2.54514
359.00,2.54577
359.50,2.53725
360.00,2.54023
360.50,2.54079
361.00,2.54031
361.50,2.53236
362.00,2.52759
362.50,2.52769
363.00,2.52875
363.50,2.52401
364.00,2.50961
364.50,2.50072
365.00,2.48890
365.50,2.48030
366.00,2.46360
366.50,2.45074
367.00,2.43389
367.50,2.42121
368.00,2.40602
368.50,2.39428
369.00,2.38381
369.50,2.36988
370.00,2.34961
370.50,2.32549
371.00,2.30573
371.50,2.28650
372.00,2.26756
372.50,2.24688
373.00,2.22448
373.50,2.20113
374.00,2.17722
374.50,2.15742
375.00,2.13672
375.50,2.11400
376.00,2.09121
376.50,2.07077
377.00,2.05324
377.50,2.03642
378.00,2.01653
378.50,1.99838
379.00,1.97782
379.50,1.96255
380.00,1.94784
380.50,1.93310
381.00,1.91934
381.50,1.90472
382.00,1.89283
382.50,1.88016
383.00,1.86699
383.50,1.85631
384.00,1.84552
384.50,1.83393
385.00,1.82456
385.50,1.81523
386.00,1.81245
386.50,1.80860
387.00,1.80803
387.50,1.80600
388.00,1.80535
388.50,1.80510
