"20min - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,6.00000
250.50,6.00000
251.00,2.33834
251.50,2.20690
252.00,2.01028
252.50,2.13406
253.00,2.02584
253.50,2.07475
254.00,2.04014
254.50,2.23040
255.00,2.35153
255.50,2.42672
256.00,2.21374
256.50,2.46134
257.00,2.44830
257.50,2.43430
258.00,2.22712
258.50,2.37581
259.00,2.36217
259.50,2.37567
260.00,2.36282
260.50,2.93783
261.00,2.58728
261.50,2.65570
262.00,2.36245
262.50,3.11139
263.00,6.00000
263.50,6.00000
264.00,2.94510
264.50,2.69237
265.00,2.63584
265.50,2.52402
266.00,2.49243
266.50,2.50396
267.00,2.64901
267.50,2.65785
268.00,2.63286
268.50,2.77224
269.00,2.82654
269.50,3.05138
270.00,2.82314
270.50,2.96573
271.00,2.95618
271.50,3.03976
272.00,3.02010
272.50,3.07144
273.00,3.19857
273.50,2.96649
274.00,2.98240
274.50,3.11044
275.00,3.74395
275.50,3.60682
276.00,2.97944
276.50,2.73970
277.00,2.66013
277.50,2.69740
278.00,2.76969
278.50,2.95267
279.00,2.94731
279.50,2.95455
280.00,3.02443
280.50,3.19659
281.00,3.41230
281.50,3.21511
282.00,3.61897
282.50,3.40975
283.00,3.55146
283.50,3.22296
284.00,3.17271
284.50,2.99875
285.00,3.00783
285.50,2.95598
286.00,3.05414
286.50,3.07660
287.00,3.04876
287.50,2.97212
288.00,3.01969
288.50,3.07823
289.00,3.07971
289.50,2.95092
290.00,2.96404
290.50,2.98368
291.00,3.03759
291.50,2.98431
292.00,2.95621
292.50,2.99580
293.00,2.93913
293.50,2.90771
294.00,2.81262
294.50,2.81164
295.00,2.82467
295.50,2.83979
296.00,2.91141
296.50,2.88402
297.00,2.82291
297.50,2.76395
298.00,2.72664
298.50,2.73803
299.00,2.71002
299.50,2.69415
300.00,2.75075
300.50,2.72823
301.00,2.78348
301.50,2.76855
302.00,2.79320
302.50,2.73376
303.00,2.74868
303.50,2.75084
304.00,2.74779
304.50,2.72107
305.00,2.74065
305.50,2.75083
306.00,2.75922
306.50,2.71151
307.00,2.69979
307.50,2.66759
308.00,2.69419
308.50,2.69294
309.00,2.67087
309.50,2.64436
310.00,2.63289
310.50,2.59781
311.00,2.57229
311.50,2.55399
312.00,2.55369
312.50,2.52793
313.00,2.50425
313.50,2.47536
314.00,2.46227
314.50,2.44127
315.00,2.42893
315.50,2.41016
316.00,2.39738
316.50,2.36879
317.00,2.35792
317.50,2.34445
318.00,2.33248
318.50,2.30260
319.00,2.27342
319.50,2.24692
320.00,2.23133
320.50,2.22329
321.00,2.20942
321.50,2.19811
322.00,2.18050
322.50,2.16475
323.00,2.14701
323.50,2.12578
324.00,2.11013
324.50,2.08931
325.00,2.07663
325.50,2.06199
326.00,2.04721
326.50,2.02844
327.00,2.01574
327.50,2.00062
328.00,1.98039
328.50,1.96203
329.00,1.94867
329.50,1.93679
330.00,1.92443
330.50,1.90769
331.00,1.89891
331.50,1.88567
332.00,1.87255
332.50,1.85831
333.00,1.84575
333.50,1.83923
334.00,1.83263
334.50,1.82703
335.00,1.81977
335.50,1.81162
336.00,1.80532
336.50,1.80367
337.00,1.80208
337.50,1.79945
338.00,1.79103
338.50,1.78767
339.00,1.78503
339.50,1.78567
340.00,1.78292
340.50,1.78041
341.00,1.77800
341.50,1.77540
342.00,1.77108
342.50,1.76880
343.00,1.76786
343.50,1.76820
344.00,1.76505
344.50,1.76143
345.00,1.75973
345.50,1.75782
346.00,1.75502
346.50,1.74868
347.00,1.74551
347.50,1.74503
348.00,1.74513
348.50,1.74383
349.00,1.74078
349.50,1.74094
350.00,1.73868
350.50,1.74096
351.00,1.74104
351.50,1.74293
352.00,1.74168
352.50,1.74200
353.00,1.74182
353.50,1.74045
354.00,1.73888
354.50,1.73601
355.00,1.73238
355.50,1.72664
356.00,1.71982
356.50,1.71359
357.00,1.70555
357.50,1.69691
358.00,1.68645
358.50,1.67429
359.00,1.66209
359.50,1.64532
360.00,1.62586
360.50,1.60339
361.00,1.58411
361.50,1.56486
362.00,1.54591
362.50,1.52357
363.00,1.50040
363.50,1.47638
364.00,1.45323
364.50,1.43062
365.00,1.40956
365.50,1.38715
366.00,1.36736
366.50,1.34777
367.00,1.33138
367.50,1.31304
368.00,1.29616
368.50,1.27841
369.00,1.26401
369.50,1.24790
370.00,1.23395
370.50,1.22075
371.00,1.21084
371.50,1.20205
372.00,1.19304
372.50,1.18561
373.00,1.17953
373.50,1.17574
374.00,1.17341
374.50,1.17220
375.00,1.17321
375.50,1.17553
376.00,1.17950
376.50,1.18515
377.00,1.19247
377.50,1.20167
378.00,1.21075
378.50,1.22027
379.00,1.23150
379.50,1.24416
380.00,1.25805
380.50,1.26990
381.00,1.28159
381.50,1.29082
382.00,1.30073
382.50,1.30746
383.00,1.31331
383.50,1.31589
384.00,1.31709
384.50,1.31619
385.00,1.31340
385.50,1.30808
386.00,1.30213
386.50,1.29289
387.00,1.28259
387.50,1.26916
388.00,1.25566
388.50,1.23918
389.00,1.22220
389.50,1.20326
390.00,1.18495
390.50,1.16493
391.00,1.14486
391.50,1.12387
392.00,1.10309
392.50,1.08196
393.00,1.06159
393.50,1.04131
394.00,1.02076
394.50,1.00072
395.00,0.98170
395.50,0.96429
396.00,0.94744
396.50,0.93160
397.00,0.91613
397.50,0.90330
398.00,0.89122
398.50,0.88183
