"cds30 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,1.95929
250.50,1.93775
251.00,2.08846
251.50,2.30214
252.00,2.53319
252.50,2.33864
253.00,2.13774
253.50,2.11215
254.00,2.16939
254.50,2.22007
255.00,2.30182
255.50,2.36104
256.00,2.52298
256.50,2.60505
257.00,2.44625
257.50,2.36732
258.00,2.29630
258.50,2.28894
259.00,2.24228
259.50,2.14084
260.00,2.10779
260.50,2.11522
261.00,2.19074
261.50,2.22619
262.00,2.20217
262.50,2.16411
263.00,2.12464
263.50,2.12942
264.00,2.15790
264.50,2.11306
265.00,2.10825
265.50,2.07101
266.00,2.09293
266.50,2.04023
267.00,2.06547
267.50,2.03637
268.00,2.03417
268.50,1.99389
269.00,2.01117
269.50,2.01924
270.00,2.00033
270.50,1.97865
271.00,1.97141
271.50,1.96006
272.00,1.93640
272.50,1.91812
273.00,1.93957
273.50,1.94283
274.00,1.95088
274.50,1.92083
275.00,1.88880
275.50,1.86332
276.00,1.84664
276.50,1.83471
277.00,1.81841
277.50,1.80002
278.00,1.79206
278.50,1.77978
279.00,1.77765
279.50,1.76166
280.00,1.74783
280.50,1.74199
281.00,1.74125
281.50,1.73917
282.00,1.72864
282.50,1.71978
283.00,1.71027
283.50,1.69261
284.00,1.67783
284.50,1.66072
285.00,1.65265
285.50,1.64614
286.00,1.64522
286.50,1.63126
287.00,1.61552
287.50,1.59989
288.00,1.58810
288.50,1.57814
289.00,1.56968
289.50,1.56172
290.00,1.55912
290.50,1.54699
291.00,1.54373
291.50,1.52991
292.00,1.52444
292.50,1.51519
293.00,1.50783
293.50,1.49689
294.00,1.48808
294.50,1.47854
295.00,1.47615
295.50,1.46798
296.00,1.46169
296.50,1.45176
297.00,1.44245
297.50,1.43682
298.00,1.42888
298.50,1.42369
299.00,1.41817
299.50,1.41492
300.00,1.41104
300.50,1.40497
301.00,1.39927
301.50,1.39234
302.00,1.38285
302.50,1.37540
303.00,1.36932
303.50,1.36744
304.00,1.36370
304.50,1.36466
305.00,1.36646
305.50,1.36990
306.00,1.36716
306.50,1.36716
307.00,1.36596
307.50,1.36955
308.00,1.37010
308.50,1.37188
309.00,1.37009
309.50,1.36886
310.00,1.36961
310.50,1.37023
311.00,1.37082
311.50,1.36546
312.00,1.35872
312.50,1.34940
313.00,1.33612
313.50,1.32417
314.00,1.30896
314.50,1.29360
315.00,1.27369
315.50,1.25601
316.00,1.23748
316.50,1.21941
317.00,1.20156
317.50,1.18703
318.00,1.17367
318.50,1.15940
319.00,1.14483
319.50,1.13413
320.00,1.12396
320.50,1.11547
321.00,1.10594
321.50,1.09861
322.00,1.09027
322.50,1.08294
323.00,1.07588
323.50,1.07062
324.00,1.06431
324.50,1.05839
325.00,1.05228
325.50,1.04831
326.00,1.04212
326.50,1.03671
327.00,1.03065
327.50,1.02651
328.00,1.02153
328.50,1.01597
329.00,1.00991
329.50,1.00485
330.00,0.99950
330.50,0.99443
331.00,0.99109
331.50,0.98641
332.00,0.98355
332.50,0.97837
333.00,0.97404
333.50,0.96928
334.00,0.96464
334.50,0.96066
335.00,0.95566
335.50,0.95045
336.00,0.94625
336.50,0.94147
337.00,0.93717
337.50,0.93297
338.00,0.92942
338.50,0.92563
339.00,0.92122
339.50,0.91665
340.00,0.91206
340.50,0.90729
341.00,0.90294
341.50,0.89914
342.00,0.89565
342.50,0.89196
343.00,0.88688
343.50,0.88265
344.00,0.87786
344.50,0.87494
345.00,0.87028
345.50,0.86665
346.00,0.86241
346.50,0.85942
347.00,0.85637
347.50,0.85340
348.00,0.84955
348.50,0.84529
349.00,0.84212
349.50,0.83891
350.00,0.83670
350.50,0.83262
351.00,0.83030
351.50,0.82684
352.00,0.82480
352.50,0.82156
353.00,0.81922
353.50,0.81655
354.00,0.81518
354.50,0.81304
355.00,0.81066
355.50,0.80771
356.00,0.80458
356.50,0.80265
357.00,0.80068
357.50,0.79948
358.00,0.79764
358.50,0.79554
359.00,0.79413
359.50,0.79208
360.00,0.78901
360.50,0.78643
361.00,0.78337
361.50,0.78211
362.00,0.77973
362.50,0.77819
363.00,0.77591
363.50,0.77367
364.00,0.77038
364.50,0.76864
365.00,0.76490
365.50,0.76302
366.00,0.75891
366.50,0.75670
367.00,0.75323
367.50,0.75048
368.00,0.74799
368.50,0.74403
369.00,0.74105
369.50,0.73592
370.00,0.73356
370.50,0.72902
371.00,0.72601
371.50,0.72195
372.00,0.71802
372.50,0.71372
373.00,0.71011
373.50,0.70538
374.00,0.70198
374.50,0.69698
375.00,0.69373
375.50,0.68841
376.00,0.68379
376.50,0.67883
377.00,0.67481
377.50,0.67104
378.00,0.66674
378.50,0.66303
379.00,0.65835
379.50,0.65507
380.00,0.65063
380.50,0.64802
381.00,0.64360
381.50,0.64033
382.00,0.63594
382.50,0.63239
383.00,0.62993
383.50,0.62586
384.00,0.62277
384.50,0.61777
385.00,0.61515
385.50,0.61198
386.00,0.60953
386.50,0.60634
387.00,0.60324
387.50,0.60044
388.00,0.59731
388.50,0.59422
389.00,0.59112
389.50,0.58878
390.00,0.58681
390.50,0.58483
391.00,0.58299
391.50,0.58088
392.00,0.57867
392.50,0.57637
393.00,0.57458
393.50,0.57255
394.00,0.57085
394.50,0.56919
395.00,0.56816
395.50,0.56697
396.00,0.56596
396.50,0.56491
397.00,0.56384
397.50,0.56276
398.00,0.56076
398.50,0.56004
399.00,0.55866
399.50,0.55817
400.00,0.55717
400.50,0.55665
401.00,0.55572
401.50,0.55418
402.00,0.55300
402.50,0.55153
403.00,0.55043
403.50,0.54900
404.00,0.54777
404.50,0.54627
405.00,0.54418
405.50,0.54262
406.00,0.54000
406.50,0.53795
407.00,0.53531
407.50,0.53305
408.00,0.52989
408.50,0.52660
409.00,0.52312
409.50,0.51954
410.00,0.51659
410.50,0.51274
411.00,0.50964
411.50,0.50510
412.00,0.50192
412.50,0.49636
