"5min - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,1.97990
250.50,1.98898
251.00,2.03677
251.50,1.92710
252.00,1.96410
252.50,2.01708
253.00,2.32263
253.50,2.12548
254.00,2.06486
254.50,2.01428
255.00,2.04848
255.50,1.94958
256.00,1.99511
256.50,2.03288
257.00,2.24211
257.50,2.13352
258.00,2.20564
258.50,2.10907
259.00,2.14570
259.50,2.06170
260.00,2.02710
260.50,2.03968
261.00,2.13980
261.50,2.12888
262.00,2.11390
262.50,2.02157
263.00,2.01272
263.50,1.97281
264.00,1.99576
264.50,1.98209
265.00,1.98837
265.50,1.94526
266.00,1.99421
266.50,1.96280
267.00,1.96885
267.50,1.88785
268.00,1.88688
268.50,1.90967
269.00,1.94493
269.50,1.97762
270.00,1.93055
270.50,1.90461
271.00,1.86380
271.50,1.87505
272.00,1.87726
272.50,1.88371
273.00,1.89219
273.50,1.90334
274.00,1.91653
274.50,1.92159
275.00,1.90113
275.50,1.88660
276.00,1.85626
276.50,1.84845
277.00,1.84505
277.50,1.83428
278.00,1.84077
278.50,1.83423
279.00,1.82994
279.50,1.80123
280.00,1.78831
280.50,1.77789
281.00,1.78141
281.50,1.76197
282.00,1.74330
282.50,1.72290
283.00,1.71261
283.50,1.68242
284.00,1.66409
284.50,1.63846
285.00,1.63379
285.50,1.62237
286.00,1.60620
286.50,1.58748
287.00,1.56314
287.50,1.54486
288.00,1.53238
288.50,1.52332
289.00,1.51366
289.50,1.49572
290.00,1.47841
290.50,1.46070
291.00,1.44630
291.50,1.43136
292.00,1.41694
292.50,1.40330
293.00,1.39080
293.50,1.37844
294.00,1.36866
294.50,1.35790
295.00,1.34848
295.50,1.33400
296.00,1.32358
296.50,1.30815
297.00,1.29794
297.50,1.28404
298.00,1.27469
298.50,1.26335
299.00,1.25240
299.50,1.24623
300.00,1.23481
300.50,1.22705
301.00,1.21988
301.50,1.21835
302.00,1.21592
302.50,1.20905
303.00,1.20724
303.50,1.20873
304.00,1.21425
304.50,1.21867
305.00,1.22263
305.50,1.22779
306.00,1.23954
306.50,1.25352
307.00,1.26920
307.50,1.28064
308.00,1.29203
308.50,1.30608
309.00,1.31921
309.50,1.33030
310.00,1.33607
310.50,1.33722
311.00,1.33707
311.50,1.32568
312.00,1.31410
312.50,1.29094
313.00,1.27020
313.50,1.24276
314.00,1.21495
314.50,1.18941
315.00,1.16291
315.50,1.14016
316.00,1.11713
316.50,1.09805
317.00,1.08235
317.50,1.06776
318.00,1.05457
318.50,1.04330
319.00,1.03699
319.50,1.03148
320.00,1.02680
320.50,1.02193
321.00,1.02027
321.50,1.01853
322.00,1.01817
322.50,1.01871
323.00,1.02012
323.50,1.01744
324.00,1.01442
324.50,1.01053
325.00,1.00798
325.50,1.00532
326.00,1.00309
326.50,1.00034
327.00,0.99591
327.50,0.98962
328.00,0.98174
328.50,0.97530
329.00,0.96536
329.50,0.95832
330.00,0.94567
330.50,0.93484
331.00,0.91963
331.50,0.90740
332.00,0.89319
332.50,0.88085
333.00,0.86651
333.50,0.85390
334.00,0.83924
334.50,0.82569
335.00,0.81153
335.50,0.79854
336.00,0.78370
336.50,0.76806
337.00,0.75249
337.50,0.73867
338.00,0.72639
338.50,0.71417
339.00,0.70313
339.50,0.69104
340.00,0.67952
340.50,0.66691
341.00,0.65746
341.50,0.64823
342.00,0.64123
342.50,0.63337
343.00,0.62649
343.50,0.61979
344.00,0.61393
344.50,0.60990
345.00,0.60603
345.50,0.60273
346.00,0.59988
346.50,0.59922
347.00,0.59910
347.50,0.60001
348.00,0.60099
348.50,0.60486
349.00,0.60804
349.50,0.61200
350.00,0.61594
350.50,0.62150
351.00,0.62837
351.50,0.63576
352.00,0.64338
352.50,0.65078
353.00,0.65906
353.50,0.66760
354.00,0.67710
354.50,0.68395
355.00,0.69107
355.50,0.69613
356.00,0.70225
356.50,0.70625
357.00,0.70919
357.50,0.71015
358.00,0.71086
358.50,0.71018
359.00,0.70710
359.50,0.70304
360.00,0.69637
360.50,0.68811
361.00,0.67679
361.50,0.66510
362.00,0.65241
362.50,0.63892
363.00,0.62501
363.50,0.61010
364.00,0.59530
364.50,0.57934
365.00,0.56365
365.50,0.54843
366.00,0.53302
366.50,0.51823
367.00,0.50323
367.50,0.48881
368.00,0.47521
368.50,0.46224
369.00,0.44973
369.50,0.43794
370.00,0.42660
370.50,0.41708
371.00,0.40799
371.50,0.39997
372.00,0.39231
372.50,0.38525
373.00,0.37947
373.50,0.37373
374.00,0.37003
374.50,0.36624
375.00,0.36561
375.50,0.36571
376.00,0.36849
376.50,0.37123
377.00,0.37672
377.50,0.38356
378.00,0.39347
378.50,0.40440
379.00,0.41825
379.50,0.43476
380.00,0.45351
380.50,0.47535
381.00,0.49868
381.50,0.52574
382.00,0.55315
382.50,0.58376
383.00,0.61352
383.50,0.64593
384.00,0.67726
384.50,0.71056
385.00,0.74184
385.50,0.77201
386.00,0.80164
386.50,0.82970
387.00,0.85748
387.50,0.88182
388.00,0.90457
388.50,0.92339
389.00,0.94030
389.50,0.95334
390.00,0.96434
390.50,0.97158
391.00,0.97712
391.50,0.98007
392.00,0.98050
392.50,0.97974
393.00,0.97495
393.50,0.96940
394.00,0.96082
394.50,0.95213
395.00,0.93982
395.50,0.92706
396.00,0.91128
396.50,0.89432
397.00,0.87427
397.50,0.85308
398.00,0.83091
398.50,0.80631
399.00,0.78078
399.50,0.75245
400.00,0.72481
400.50,0.69410
401.00,0.66390
401.50,0.63028
402.00,0.59760
402.50,0.56364
403.00,0.53095
403.50,0.49802
404.00,0.46544
404.50,0.43322
405.00,0.40186
405.50,0.37112
406.00,0.34208
406.50,0.31423
407.00,0.28904
407.50,0.26462
408.00,0.24197
408.50,0.22075
409.00,0.20166
409.50,0.18301
410.00,0.16672
410.50,0.15083
411.00,0.13880
411.50,0.12592
412.00,0.11595
412.50,0.10520
413.00,0.09746
413.50,0.08963
414.00,0.08318
414.50,0.07730
415.00,0.07189
415.50,0.06817
416.00,0.06324
416.50,0.06072
417.00,0.05681
417.50,0.05542
418.00,0.05255
418.50,0.05160
419.00,0.04982
419.50,0.04854
420.00,0.04711
420.50,0.04616
421.00,0.04545
421.50,0.04470
422.00,0.04400
422.50,0.04317
423.00,0.04319
423.50,0.04210
424.00,0.04259
424.50,0.04127
425.00,0.04192
425.50,0.04061
426.00,0.04123
426.50,0.04055
427.00,0.04096
427.50,0.03967
428.00,0.03907
428.50,0.03872
429.00,0.03918
429.50,0.03970
430.00,0.03925
430.50,0.03957
431.00,0.03848
431.50,0.03917
432.00,0.03783
432.50,0.03892
433.00,0.03760
433.50,0.03832
434.00,0.03777
434.50,0.03841
435.00,0.03799
435.50,0.03776
436.00,0.03760
436.50,0.03790
437.00,0.03765
437.50,0.03750
438.00,0.03728
438.50,0.03741
439.00,0.03735
439.50,0.03728
440.00,0.03708
440.50,0.03733
441.00,0.03676
441.50,0.03738
442.00,0.03642
442.50,0.03732
443.00,0.03611
443.50,0.03710
444.00,0.03611
444.50,0.03665
445.00,0.03626
445.50,0.03639
446.00,0.03692
446.50,0.03623
447.00,0.03709
447.50,0.03575
448.00,0.03705
448.50,0.03560
449.00,0.03705
449.50,0.03570
450.00,0.03617
450.50,0.03529
451.00,0.03577
451.50,0.03630
452.00,0.03594
452.50,0.03643
453.00,0.03530
453.50,0.03613
454.00,0.03487
454.50,0.03622
455.00,0.03479
455.50,0.03549
456.00,0.03458
456.50,0.03545
457.00,0.03527
457.50,0.03528
458.00,0.03524
458.50,0.03504
459.00,0.03508
459.50,0.03489
460.00,0.03473
460.50,0.03482
461.00,0.03444
461.50,0.03506
462.00,0.03454
462.50,0.03508
463.00,0.03439
463.50,0.03449
464.00,0.03412
464.50,0.03389
465.00,0.03409
465.50,0.03396
466.00,0.03433
466.50,0.03398
467.00,0.03416
467.50,0.03392
468.00,0.03414
468.50,0.03374
469.00,0.03377
469.50,0.03365
470.00,0.03368
470.50,0.03382
471.00,0.03353
471.50,0.03385
472.00,0.03355
472.50,0.03367
473.00,0.03334
473.50,0.03349
474.00,0.03314
474.50,0.03353
475.00,0.03319
475.50,0.03334
476.00,0.03262
476.50,0.03286
477.00,0.03280
477.50,0.03356
478.00,0.03316
478.50,0.03349
479.00,0.03289
479.50,0.03296
480.00,0.03267
480.50,0.03298
481.00,0.03305
481.50,0.03270
482.00,0.03253
482.50,0.03239
483.00,0.03294
483.50,0.03265
484.00,0.03313
484.50,0.03261
485.00,0.03283
485.50,0.03231
486.00,0.03262
486.50,0.03238
487.00,0.03220
487.50,0.03232
488.00,0.03224
488.50,0.03263
489.00,0.03222
489.50,0.03271
490.00,0.03211
490.50,0.03246
491.00,0.03175
491.50,0.03233
492.00,0.03163
492.50,0.03195
493.00,0.03178
493.50,0.03201
494.00,0.03191
494.50,0.03187
495.00,0.03223
495.50,0.03208
496.00,0.03192
496.50,0.03188
497.00,0.03190
497.50,0.03223
498.00,0.03199
498.50,0.03197
499.00,0.03157
499.50,0.03168
500.00,0.03185
500.50,0.03194
501.00,0.03177
501.50,0.03173
502.00,0.03181
502.50,0.03176
503.00,0.03191
503.50,0.03154
504.00,0.03154
504.50,0.03094
505.00,0.03113
505.50,0.03113
506.00,0.03148
506.50,0.03126
507.00,0.03110
507.50,0.03098
508.00,0.03115
508.50,0.03092
509.00,0.03062
509.50,0.03074
510.00,0.03066
510.50,0.03113
511.00,0.03018
511.50,0.03085
512.00,0.03010
512.50,0.03134
513.00,0.03064
513.50,0.03092
514.00,0.03053
514.50,0.03038
515.00,0.03095
515.50,0.03014
516.00,0.03099
516.50,0.03002
517.00,0.03130
517.50,0.03003
518.00,0.03124
518.50,0.03005
519.00,0.03117
519.50,0.03021
520.00,0.03040
520.50,0.03011
521.00,0.03043
521.50,0.03138
522.00,0.03045
522.50,0.03086
523.00,0.02935
523.50,0.03086
524.00,0.02976
524.50,0.03095
525.00,0.02978
525.50,0.03014
526.00,0.02992
526.50,0.03006
527.00,0.03050
527.50,0.02984
528.00,0.03053
528.50,0.02964
529.00,0.03062
529.50,0.02964
530.00,0.03008
530.50,0.02933
531.00,0.02978
531.50,0.02965
532.00,0.03013
532.50,0.02966
533.00,0.03011
533.50,0.02960
534.00,0.03045
534.50,0.02994
535.00,0.03027
535.50,0.03010
536.00,0.02998
536.50,0.02992
537.00,0.02932
537.50,0.02985
538.00,0.02947
538.50,0.02996
539.00,0.02941
539.50,0.03010
540.00,0.02951
540.50,0.03021
541.00,0.02933
541.50,0.03010
542.00,0.02918
542.50,0.02995
543.00,0.02920
543.50,0.02978
544.00,0.02926
544.50,0.02958
545.00,0.02969
545.50,0.02936
546.00,0.02958
546.50,0.02890
547.00,0.02954
547.50,0.02837
548.00,0.02932
548.50,0.02831
549.00,0.02993
549.50,0.02902
