"30min - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,2.17210
250.50,2.05679
251.00,2.30879
251.50,1.97815
252.00,2.21742
252.50,2.11750
253.00,2.18584
253.50,2.03633
254.00,2.00851
254.50,1.98714
255.00,2.15133
255.50,2.09980
256.00,2.37642
256.50,2.27858
257.00,2.56366
257.50,2.33144
258.00,2.54817
258.50,2.50633
259.00,3.24293
259.50,2.83384
260.00,2.84581
260.50,2.58197
261.00,2.51606
261.50,2.50963
262.00,2.34126
262.50,2.48868
263.00,2.51293
263.50,2.47764
264.00,2.46802
264.50,2.65976
265.00,2.81424
265.50,2.67786
266.00,2.52102
266.50,2.52814
267.00,2.49077
267.50,2.60376
268.00,2.61642
268.50,2.80004
269.00,2.56904
269.50,2.65245
270.00,2.67107
270.50,2.69127
271.00,2.61634
271.50,2.53905
272.00,2.50068
272.50,2.51215
273.00,2.53891
273.50,2.57515
274.00,2.50595
274.50,2.48243
275.00,2.51757
275.50,2.52559
276.00,2.49739
276.50,2.46654
277.00,2.45671
277.50,2.45104
278.00,2.40419
278.50,2.38037
279.00,2.36188
279.50,2.36917
280.00,2.37862
280.50,2.39777
281.00,2.41615
281.50,2.40354
282.00,2.33747
282.50,2.30894
283.00,2.32049
283.50,2.36411
284.00,2.36625
284.50,2.33096
285.00,2.29114
285.50,2.28404
286.00,2.24895
286.50,2.25517
287.00,2.21691
287.50,2.21308
288.00,2.19205
288.50,2.19585
289.00,2.17244
289.50,2.15513
290.00,2.14079
290.50,2.13778
291.00,2.12353
291.50,2.10300
292.00,2.08473
292.50,2.07520
293.00,2.05754
293.50,2.04715
294.00,2.03944
294.50,2.02223
295.00,2.01281
295.50,1.98324
296.00,1.97460
296.50,1.95178
297.00,1.94405
297.50,1.92143
298.00,1.91026
298.50,1.89133
299.00,1.88592
299.50,1.87079
300.00,1.86343
300.50,1.84616
301.00,1.83655
301.50,1.81894
302.00,1.79994
302.50,1.78818
303.00,1.77775
303.50,1.77465
304.00,1.75219
304.50,1.74359
305.00,1.73431
305.50,1.73351
306.00,1.71750
306.50,1.70176
307.00,1.68692
307.50,1.67660
308.00,1.66891
308.50,1.66343
309.00,1.65431
309.50,1.64174
310.00,1.63167
310.50,1.62254
311.00,1.61420
311.50,1.60268
312.00,1.59680
312.50,1.58979
313.00,1.58470
313.50,1.57865
314.00,1.57220
314.50,1.56314
315.00,1.55670
315.50,1.55229
316.00,1.54387
316.50,1.53705
317.00,1.53056
317.50,1.52535
318.00,1.51941
318.50,1.51165
319.00,1.51293
319.50,1.50607
320.00,1.50348
320.50,1.49537
321.00,1.49273
321.50,1.48960
322.00,1.48443
322.50,1.47944
323.00,1.47255
323.50,1.46934
324.00,1.46540
324.50,1.46068
325.00,1.45521
325.50,1.44877
326.00,1.44289
326.50,1.43732
327.00,1.42929
327.50,1.42443
328.00,1.41574
328.50,1.40925
329.00,1.39778
329.50,1.39098
330.00,1.38193
330.50,1.37526
331.00,1.36533
331.50,1.35629
332.00,1.34535
332.50,1.33653
333.00,1.32740
333.50,1.31943
334.00,1.30810
334.50,1.29759
335.00,1.28675
335.50,1.27772
336.00,1.26974
336.50,1.25968
337.00,1.25058
337.50,1.23805
338.00,1.22684
338.50,1.21554
339.00,1.20723
339.50,1.19881
340.00,1.18909
340.50,1.17956
341.00,1.17072
341.50,1.16262
342.00,1.15523
342.50,1.14676
343.00,1.13908
343.50,1.12883
344.00,1.12089
344.50,1.11208
345.00,1.10496
345.50,1.09604
346.00,1.08841
346.50,1.08249
347.00,1.07594
347.50,1.07052
348.00,1.06206
348.50,1.05707
349.00,1.04932
349.50,1.04550
350.00,1.03884
350.50,1.03477
351.00,1.02989
351.50,1.02691
352.00,1.02231
352.50,1.01688
353.00,1.01187
353.50,1.00828
354.00,1.00627
354.50,1.00249
355.00,0.99939
355.50,0.99515
356.00,0.99398
356.50,0.99122
357.00,0.99016
357.50,0.98788
358.00,0.98724
358.50,0.98523
359.00,0.98300
359.50,0.98188
360.00,0.98077
360.50,0.98099
361.00,0.97879
361.50,0.97814
362.00,0.97701
362.50,0.97709
363.00,0.97596
363.50,0.97502
364.00,0.97411
364.50,0.97557
365.00,0.97588
365.50,0.97640
366.00,0.97401
366.50,0.97371
367.00,0.97270
367.50,0.97330
368.00,0.97173
368.50,0.97040
369.00,0.96853
369.50,0.96690
370.00,0.96638
370.50,0.96413
371.00,0.96306
371.50,0.95964
372.00,0.95774
372.50,0.95476
373.00,0.95334
373.50,0.94891
374.00,0.94520
374.50,0.93991
375.00,0.93661
375.50,0.93211
376.00,0.92709
376.50,0.92198
377.00,0.91663
377.50,0.91077
378.00,0.90408
378.50,0.89683
379.00,0.89059
379.50,0.88345
380.00,0.87617
380.50,0.86751
381.00,0.86006
381.50,0.85226
382.00,0.84414
382.50,0.83664
383.00,0.82842
383.50,0.82086
384.00,0.81167
384.50,0.80294
385.00,0.79511
385.50,0.78568
386.00,0.77815
386.50,0.76887
387.00,0.76168
387.50,0.75303
388.00,0.74465
388.50,0.73603
389.00,0.72793
389.50,0.72069
390.00,0.71278
390.50,0.70622
391.00,0.69800
391.50,0.69045
392.00,0.68270
392.50,0.67592
393.00,0.66996
393.50,0.66301
394.00,0.65681
394.50,0.65139
395.00,0.64449
395.50,0.63973
396.00,0.63343
396.50,0.62992
397.00,0.62458
397.50,0.62060
398.00,0.61615
398.50,0.61214
399.00,0.60851
399.50,0.60386
400.00,0.60109
400.50,0.59736
401.00,0.59617
401.50,0.59293
402.00,0.59174
402.50,0.58908
403.00,0.58791
403.50,0.58574
404.00,0.58466
404.50,0.58362
405.00,0.58271
405.50,0.58163
406.00,0.58014
406.50,0.57952
407.00,0.57911
407.50,0.57944
408.00,0.57984
408.50,0.58074
409.00,0.58165
409.50,0.58249
410.00,0.58338
410.50,0.58408
411.00,0.58588
411.50,0.58761
412.00,0.58988
412.50,0.59182
413.00,0.59390
413.50,0.59656
414.00,0.59826
414.50,0.60140
415.00,0.60392
415.50,0.60832
416.00,0.61085
416.50,0.61497
417.00,0.61856
417.50,0.62299
418.00,0.62749
418.50,0.63099
419.00,0.63620
419.50,0.63945
420.00,0.64385
420.50,0.64825
421.00,0.65250
421.50,0.65833
422.00,0.66194
422.50,0.66852
423.00,0.67279
423.50,0.67798
424.00,0.68204
424.50,0.68637
425.00,0.69115
425.50,0.69463
426.00,0.69897
426.50,0.70180
427.00,0.70551
427.50,0.70689
428.00,0.70883
428.50,0.70923
429.00,0.71025
429.50,0.71002
430.00,0.70998
430.50,0.70829
431.00,0.70608
431.50,0.70244
432.00,0.69851
432.50,0.69394
433.00,0.68831
433.50,0.68220
434.00,0.67505
434.50,0.66729
435.00,0.65823
435.50,0.64846
436.00,0.63811
436.50,0.62667
437.00,0.61521
437.50,0.60216
438.00,0.58953
438.50,0.57394
439.00,0.55976
439.50,0.54387
440.00,0.52946
440.50,0.51259
441.00,0.49618
441.50,0.47845
442.00,0.46108
442.50,0.44295
443.00,0.42492
443.50,0.40723
444.00,0.38967
444.50,0.37242
445.00,0.35537
445.50,0.33844
446.00,0.32183
446.50,0.30564
447.00,0.29037
447.50,0.27528
448.00,0.26044
448.50,0.24582
449.00,0.23209
449.50,0.21929
450.00,0.20644
450.50,0.19497
451.00,0.18332
451.50,0.17366
452.00,0.16290
452.50,0.15447
453.00,0.14493
453.50,0.13786
454.00,0.12931
454.50,0.12302
455.00,0.11563
455.50,0.10985
456.00,0.10432
456.50,0.09888
457.00,0.09491
457.50,0.08935
458.00,0.08660
458.50,0.08100
459.00,0.07873
459.50,0.07395
460.00,0.07209
460.50,0.06860
461.00,0.06655
461.50,0.06414
462.00,0.06160
462.50,0.05950
463.00,0.05688
463.50,0.05562
464.00,0.05325
464.50,0.05231
465.00,0.05008
465.50,0.04939
466.00,0.04730
466.50,0.04640
467.00,0.04489
467.50,0.04419
468.00,0.04280
468.50,0.04192
469.00,0.04093
469.50,0.04020
470.00,0.03947
470.50,0.03881
471.00,0.03828
471.50,0.03782
472.00,0.03726
472.50,0.03665
473.00,0.03616
473.50,0.03581
474.00,0.03533
474.50,0.03491
475.00,0.03447
475.50,0.03426
476.00,0.03377
476.50,0.03339
477.00,0.03302
477.50,0.03281
478.00,0.03267
478.50,0.03221
479.00,0.03219
479.50,0.03134
480.00,0.03156
480.50,0.03072
481.00,0.03122
481.50,0.03048
482.00,0.03080
482.50,0.03029
483.00,0.03029
483.50,0.03020
484.00,0.03015
484.50,0.03031
485.00,0.02946
485.50,0.02950
486.00,0.02846
486.50,0.02928
487.00,0.02778
487.50,0.02912
488.00,0.02779
488.50,0.02955
489.00,0.02813
489.50,0.02926
490.00,0.02773
490.50,0.02840
491.00,0.02737
491.50,0.02776
492.00,0.02719
492.50,0.02698
493.00,0.02745
493.50,0.02677
494.00,0.02746
494.50,0.02602
495.00,0.02738
495.50,0.02590
496.00,0.02716
496.50,0.02599
497.00,0.02692
497.50,0.02617
498.00,0.02676
498.50,0.02647
499.00,0.02658
499.50,0.02640
500.00,0.02642
500.50,0.02610
501.00,0.02578
501.50,0.02566
502.00,0.02583
502.50,0.02550
503.00,0.02570
503.50,0.02511
504.00,0.02546
504.50,0.02473
505.00,0.02537
505.50,0.02479
506.00,0.02550
506.50,0.02454
507.00,0.02532
507.50,0.02437
508.00,0.02524
508.50,0.02403
509.00,0.02470
509.50,0.02441
510.00,0.02502
510.50,0.02466
511.00,0.02361
511.50,0.02389
512.00,0.02321
512.50,0.02465
513.00,0.02352
513.50,0.02435
514.00,0.02333
514.50,0.02427
515.00,0.02383
515.50,0.02450
516.00,0.02375
516.50,0.02394
517.00,0.02328
517.50,0.02371
518.00,0.02359
518.50,0.02354
519.00,0.02335
519.50,0.02350
520.00,0.02339
520.50,0.02335
521.00,0.02328
521.50,0.02409
522.00,0.02400
522.50,0.02376
523.00,0.02302
523.50,0.02320
524.00,0.02334
524.50,0.02311
525.00,0.02328
525.50,0.02269
526.00,0.02329
526.50,0.02263
527.00,0.02341
527.50,0.02285
528.00,0.02320
528.50,0.02252
529.00,0.02284
529.50,0.02266
530.00,0.02280
530.50,0.02216
531.00,0.02233
531.50,0.02249
532.00,0.02312
532.50,0.02291
533.00,0.02272
533.50,0.02260
534.00,0.02276
534.50,0.02269
535.00,0.02257
535.50,0.02261
536.00,0.02226
536.50,0.02232
537.00,0.02184
537.50,0.02272
538.00,0.02244
538.50,0.02271
539.00,0.02206
539.50,0.02249
540.00,0.02192
540.50,0.02238
541.00,0.02171
541.50,0.02226
542.00,0.02144
542.50,0.02178
543.00,0.02135
543.50,0.02178
544.00,0.02171
544.50,0.02181
545.00,0.02206
545.50,0.02158
546.00,0.02192
546.50,0.02110
547.00,0.02197
547.50,0.02086
548.00,0.02186
548.50,0.02060
549.00,0.02204
549.50,0.02121
550.00,0.02233
550.50,0.02175
551.00,0.02175
551.50,0.02179
552.00,0.02092
552.50,0.02159
553.00,0.02023
553.50,0.02177
554.00,0.02053
554.50,0.02226
555.00,0.02060
555.50,0.02217
556.00,0.02077
556.50,0.02192
557.00,0.02076
557.50,0.02137
558.00,0.02077
558.50,0.02098
559.00,0.02084
559.50,0.02059
560.00,0.02109
560.50,0.02051
561.00,0.02138
561.50,0.02051
562.00,0.02144
562.50,0.02029
563.00,0.02104
563.50,0.02048
564.00,0.02150
564.50,0.02098
565.00,0.02144
565.50,0.02058
566.00,0.02058
566.50,0.02019
567.00,0.02058
567.50,0.02027
568.00,0.02020
568.50,0.02037
569.00,0.02057
569.50,0.02079
570.00,0.02067
570.50,0.02069
571.00,0.02034
571.50,0.02032
572.00,0.02057
572.50,0.02085
573.00,0.02077
573.50,0.02069
574.00,0.02033
574.50,0.02069
575.00,0.02027
575.50,0.02090
576.00,0.02019
576.50,0.02068
577.00,0.01955
577.50,0.02037
578.00,0.01974
578.50,0.02039
579.00,0.02000
579.50,0.01992
580.00,0.02039
580.50,0.01964
581.00,0.02082
581.50,0.01950
582.00,0.02111
582.50,0.01934
583.00,0.02081
583.50,0.01882
584.00,0.02037
584.50,0.01890
585.00,0.02020
585.50,0.01905
586.00,0.01969
586.50,0.01941
587.00,0.01958
587.50,0.01994
588.00,0.01921
588.50,0.01996
589.00,0.01865
589.50,0.01985
590.00,0.01864
590.50,0.02017
591.00,0.01895
591.50,0.01997
592.00,0.01915
592.50,0.01963
593.00,0.01922
593.50,0.01946
594.00,0.01943
594.50,0.01937
595.00,0.01904
595.50,0.01913
596.00,0.01929
596.50,0.01972
597.00,0.01944
597.50,0.01992
598.00,0.01963
598.50,0.02014
599.00,0.01896
599.50,0.01925
600.00,0.01914
