"16min - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,6.00000
250.50,3.40376
251.00,2.44467
251.50,2.25659
252.00,2.55729
252.50,2.69542
253.00,6.00000
253.50,2.61152
254.00,2.46619
254.50,2.13452
255.00,2.13335
255.50,2.17175
256.00,2.38248
256.50,2.44817
257.00,2.28076
257.50,2.22892
258.00,2.31765
258.50,2.28171
259.00,2.31031
259.50,2.23024
260.00,2.49387
260.50,2.47224
261.00,2.38910
261.50,2.32909
262.00,2.31224
262.50,2.46059
263.00,2.43053
263.50,2.42577
264.00,2.37929
264.50,2.47179
265.00,2.50404
265.50,2.52669
266.00,2.52727
266.50,2.54406
267.00,2.60797
267.50,2.52734
268.00,2.60872
268.50,3.06532
269.00,3.07052
269.50,2.78235
270.00,2.56649
270.50,2.81009
271.00,2.91500
271.50,2.76893
272.00,2.74611
272.50,2.80760
273.00,3.13786
273.50,2.74380
274.00,2.80105
274.50,2.67097
275.00,2.74831
275.50,2.75370
276.00,2.71243
276.50,2.72462
277.00,2.62468
277.50,2.67914
278.00,2.85885
278.50,2.81967
279.00,3.01624
279.50,2.89366
280.00,2.94131
280.50,2.76084
281.00,2.71812
281.50,2.83624
282.00,2.94594
282.50,3.07713
283.00,3.02495
283.50,2.97025
284.00,2.87836
284.50,2.89578
285.00,2.81969
285.50,2.77785
286.00,2.72555
286.50,2.87279
287.00,2.92707
287.50,2.97614
288.00,2.91413
288.50,2.93769
289.00,2.97739
289.50,2.98757
290.00,2.97343
290.50,2.98567
291.00,2.94638
291.50,2.83977
292.00,2.80945
292.50,2.81258
293.00,2.87874
293.50,2.87844
294.00,2.85534
294.50,2.81681
295.00,2.81487
295.50,2.81890
296.00,2.88155
296.50,2.83324
297.00,2.80699
297.50,2.74079
298.00,2.72396
298.50,2.67231
299.00,2.67880
299.50,2.67477
300.00,2.68362
300.50,2.63368
301.00,2.60321
301.50,2.59440
302.00,2.56671
302.50,2.53195
303.00,2.52034
303.50,2.51773
304.00,2.52855
304.50,2.49624
305.00,2.44766
305.50,2.40367
306.00,2.39641
306.50,2.39570
307.00,2.37081
307.50,2.32924
308.00,2.32193
308.50,2.33098
309.00,2.31624
309.50,2.29571
310.00,2.26559
310.50,2.24905
311.00,2.22278
311.50,2.19843
312.00,2.18240
312.50,2.17006
313.00,2.14763
313.50,2.12154
314.00,2.09008
314.50,2.07150
315.00,2.04906
315.50,2.03168
316.00,2.01132
316.50,1.99499
317.00,1.97585
317.50,1.95792
318.00,1.94290
318.50,1.92436
319.00,1.90812
319.50,1.88680
320.00,1.86955
320.50,1.85578
321.00,1.84727
321.50,1.83799
322.00,1.82402
322.50,1.81462
323.00,1.80860
323.50,1.80524
324.00,1.79664
324.50,1.78941
325.00,1.78149
325.50,1.77632
326.00,1.77335
326.50,1.77177
327.00,1.76901
327.50,1.76611
328.00,1.75610
328.50,1.75038
329.00,1.74264
329.50,1.74127
330.00,1.74072
330.50,1.73928
331.00,1.73708
331.50,1.73305
332.00,1.72958
332.50,1.72852
333.00,1.72419
333.50,1.72299
334.00,1.72119
334.50,1.72282
335.00,1.72430
335.50,1.72521
336.00,1.72617
336.50,1.72461
337.00,1.72282
337.50,1.72576
338.00,1.72740
338.50,1.73271
339.00,1.73383
339.50,1.73585
340.00,1.73716
340.50,1.73447
341.00,1.73509
341.50,1.73287
342.00,1.73383
342.50,1.73135
343.00,1.72797
343.50,1.72093
344.00,1.71503
344.50,1.70759
345.00,1.69899
345.50,1.68812
346.00,1.67612
346.50,1.66471
347.00,1.65007
347.50,1.63750
348.00,1.61962
348.50,1.60446
349.00,1.58635
349.50,1.57050
350.00,1.54985
350.50,1.52854
351.00,1.50814
351.50,1.48700
352.00,1.46502
352.50,1.43967
353.00,1.41644
353.50,1.39233
354.00,1.37038
354.50,1.34775
355.00,1.32712
355.50,1.30290
356.00,1.28055
356.50,1.25616
357.00,1.23641
357.50,1.21488
358.00,1.19661
358.50,1.17824
359.00,1.16244
359.50,1.14604
