"22min - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
250.00,1.97568
250.50,1.90813
251.00,1.99462
251.50,1.98476
252.00,2.13274
252.50,2.03306
253.00,2.10114
253.50,2.19297
254.00,2.28401
254.50,2.47175
255.00,2.54466
255.50,2.95105
256.00,2.53595
256.50,2.30211
257.00,2.20603
257.50,2.38639
258.00,2.50472
258.50,2.54727
259.00,2.50678
259.50,2.40049
260.00,2.21804
260.50,2.21756
261.00,2.28657
261.50,2.46559
262.00,2.23883
262.50,2.20154
263.00,2.21779
263.50,2.39196
264.00,2.44443
264.50,2.38647
265.00,2.36859
265.50,2.35377
266.00,2.38203
266.50,2.31791
267.00,2.35998
267.50,2.45985
268.00,2.42739
268.50,2.34522
269.00,2.29648
269.50,2.35267
270.00,2.39797
270.50,2.33359
271.00,2.33351
271.50,2.29845
272.00,2.35503
272.50,2.38682
273.00,2.44764
273.50,2.46577
274.00,2.46779
274.50,2.40925
275.00,2.38650
275.50,2.37545
276.00,2.43356
276.50,2.43013
277.00,2.40437
277.50,2.40506
278.00,2.39853
278.50,2.40313
279.00,2.38586
279.50,2.39223
280.00,2.39861
280.50,2.35974
281.00,2.32652
281.50,2.29274
282.00,2.30151
282.50,2.29558
283.00,2.31300
283.50,2.29435
284.00,2.24632
284.50,2.20830
285.00,2.19211
285.50,2.19284
286.00,2.17651
286.50,2.15548
287.00,2.13930
287.50,2.11707
288.00,2.09969
288.50,2.07760
289.00,2.06625
289.50,2.04965
290.00,2.03061
290.50,1.99957
291.00,1.97689
291.50,1.96196
292.00,1.95554
292.50,1.94147
293.00,1.92917
293.50,1.91231
294.00,1.89990
294.50,1.88375
295.00,1.87276
295.50,1.86513
296.00,1.86119
296.50,1.85204
297.00,1.84478
297.50,1.84040
298.00,1.83460
298.50,1.82615
299.00,1.81370
299.50,1.80917
300.00,1.80130
300.50,1.80010
301.00,1.79928
301.50,1.80206
302.00,1.79814
302.50,1.78956
303.00,1.78958
303.50,1.78816
304.00,1.78577
304.50,1.78303
305.00,1.77517
305.50,1.77721
306.00,1.76840
306.50,1.77166
307.00,1.76358
307.50,1.75863
308.00,1.74848
308.50,1.74465
309.00,1.73808
309.50,1.73093
310.00,1.71863
310.50,1.70635
311.00,1.68991
311.50,1.68005
312.00,1.66984
312.50,1.66396
313.00,1.64972
313.50,1.63286
314.00,1.61495
314.50,1.59842
315.00,1.58744
315.50,1.57445
316.00,1.55891
316.50,1.54308
317.00,1.52863
317.50,1.51572
318.00,1.50233
318.50,1.48781
319.00,1.47532
319.50,1.45991
320.00,1.44927
320.50,1.43454
321.00,1.42505
321.50,1.41006
322.00,1.40256
322.50,1.39136
323.00,1.38274
323.50,1.37011
324.00,1.35989
324.50,1.35085
325.00,1.33978
325.50,1.32645
326.00,1.31210
326.50,1.30079
327.00,1.28982
327.50,1.28162
328.00,1.27012
328.50,1.26084
329.00,1.25142
329.50,1.24366
330.00,1.23437
330.50,1.22151
331.00,1.21118
331.50,1.20146
332.00,1.19249
332.50,1.18360
333.00,1.17426
333.50,1.16608
334.00,1.15688
334.50,1.15003
335.00,1.14369
335.50,1.13884
336.00,1.13408
336.50,1.12848
337.00,1.12336
337.50,1.11939
338.00,1.11748
338.50,1.11479
339.00,1.11235
339.50,1.10958
340.00,1.10703
340.50,1.10378
341.00,1.10198
341.50,1.10159
342.00,1.10140
342.50,1.10150
343.00,1.10014
343.50,1.09880
344.00,1.09622
344.50,1.09557
345.00,1.09464
345.50,1.09513
346.00,1.09457
346.50,1.09435
347.00,1.09259
347.50,1.09259
348.00,1.09175
348.50,1.09362
349.00,1.09260
349.50,1.09345
350.00,1.09284
350.50,1.09621
351.00,1.09712
351.50,1.09913
352.00,1.10035
352.50,1.10209
353.00,1.10415
353.50,1.10484
354.00,1.10728
354.50,1.10754
355.00,1.10809
355.50,1.10548
356.00,1.10487
356.50,1.09963
357.00,1.09777
357.50,1.09157
358.00,1.08807
358.50,1.08118
359.00,1.07306
359.50,1.06365
360.00,1.05304
360.50,1.04238
361.00,1.02963
361.50,1.01728
362.00,1.00333
362.50,0.98911
363.00,0.97280
363.50,0.95707
364.00,0.94146
364.50,0.92669
365.00,0.91102
365.50,0.89680
366.00,0.87847
366.50,0.86237
367.00,0.84476
367.50,0.83068
368.00,0.81583
368.50,0.80186
369.00,0.78723
369.50,0.77371
370.00,0.76094
370.50,0.75017
371.00,0.73979
371.50,0.72951
372.00,0.72115
372.50,0.71325
373.00,0.70779
373.50,0.70077
374.00,0.69650
374.50,0.69196
375.00,0.69143
375.50,0.69039
376.00,0.69201
376.50,0.69305
377.00,0.69707
377.50,0.70057
378.00,0.70719
378.50,0.71287
379.00,0.72127
379.50,0.72820
380.00,0.73820
380.50,0.74778
381.00,0.75947
381.50,0.76975
382.00,0.77969
382.50,0.78879
383.00,0.79634
383.50,0.80446
384.00,0.81063
384.50,0.81700
385.00,0.82056
385.50,0.82313
386.00,0.82396
386.50,0.82403
387.00,0.82248
387.50,0.81916
388.00,0.81337
388.50,0.80559
389.00,0.79648
389.50,0.78620
390.00,0.77511
390.50,0.76291
391.00,0.74890
391.50,0.73402
392.00,0.71802
392.50,0.70208
393.00,0.68559
393.50,0.66860
394.00,0.65137
394.50,0.63494
395.00,0.61774
395.50,0.60254
396.00,0.58621
396.50,0.57201
397.00,0.55568
397.50,0.54233
398.00,0.52842
398.50,0.51786
399.00,0.50688
399.50,0.49809
400.00,0.48978
400.50,0.48348
401.00,0.47867
401.50,0.47567
402.00,0.47429
402.50,0.47481
403.00,0.47654
403.50,0.48109
404.00,0.48744
404.50,0.49713
405.00,0.50760
405.50,0.52090
406.00,0.53488
406.50,0.55259
407.00,0.57026
407.50,0.59177
408.00,0.61218
408.50,0.63681
409.00,0.65993
409.50,0.68638
410.00,0.71061
410.50,0.73612
411.00,0.75982
411.50,0.78461
412.00,0.80782
412.50,0.83127
413.00,0.85228
413.50,0.87314
414.00,0.89074
414.50,0.90839
415.00,0.92388
415.50,0.93892
416.00,0.95075
416.50,0.96190
417.00,0.97026
417.50,0.97745
418.00,0.98185
418.50,0.98304
419.00,0.98424
419.50,0.98082
420.00,0.97714
420.50,0.97064
421.00,0.96173
421.50,0.95137
422.00,0.93628
422.50,0.92174
423.00,0.90357
423.50,0.88439
424.00,0.86276
424.50,0.83937
425.00,0.81361
