"ZnS小尺寸140℃-5h3 - RawData"
"波长(nm)","吸收值"
200.00,0.511
201.00,0.827
202.00,0.951
203.00,1.053
204.00,1.026
205.00,0.970
206.00,0.963
207.00,0.952
208.00,0.945
209.00,0.895
210.00,0.866
211.00,0.875
212.00,0.836
213.00,0.833
214.00,0.814
215.00,0.786
216.00,0.775
217.00,0.758
218.00,0.746
219.00,0.733
220.00,0.719
221.00,0.703
222.00,0.688
223.00,0.668
224.00,0.649
225.00,0.632
226.00,0.613
227.00,0.595
228.00,0.574
229.00,0.555
230.00,0.535
231.00,0.515
232.00,0.497
233.00,0.479
234.00,0.462
235.00,0.448
236.00,0.434
237.00,0.422
238.00,0.409
239.00,0.399
240.00,0.391
241.00,0.386
242.00,0.382
243.00,0.382
244.00,0.386
245.00,0.391
246.00,0.399
247.00,0.409
248.00,0.421
249.00,0.434
250.00,0.449
251.00,0.464
252.00,0.482
253.00,0.499
254.00,0.515
255.00,0.529
256.00,0.535
257.00,0.534
258.00,0.525
259.00,0.505
260.00,0.478
261.00,0.446
262.00,0.412
263.00,0.375
264.00,0.339
265.00,0.304
266.00,0.271
267.00,0.239
268.00,0.212
269.00,0.186
270.00,0.163
271.00,0.146
272.00,0.129
273.00,0.114
274.00,0.101
275.00,0.090
276.00,0.081
277.00,0.073
278.00,0.066
279.00,0.060
280.00,0.054
281.00,0.049
282.00,0.045
283.00,0.041
284.00,0.038
285.00,0.035
286.00,0.033
287.00,0.030
288.00,0.028
289.00,0.026
290.00,0.024
291.00,0.024
292.00,0.022
293.00,0.021
294.00,0.020
295.00,0.019
296.00,0.018
297.00,0.018
298.00,0.017
299.00,0.017
300.00,0.016
301.00,0.016
302.00,0.016
303.00,0.015
304.00,0.014
305.00,0.014
306.00,0.014
307.00,0.015
308.00,0.014
309.00,0.014
310.00,0.013
311.00,0.012
312.00,0.012
313.00,0.012
314.00,0.012
315.00,0.012
316.00,0.011
317.00,0.012
318.00,0.011
319.00,0.011
320.00,0.012
321.00,0.012
322.00,0.012
323.00,0.011
324.00,0.011
325.00,0.010
326.00,0.010
327.00,0.011
328.00,0.010
329.00,0.010
330.00,0.010
331.00,0.010
332.00,0.010
333.00,0.010
334.00,0.010
335.00,0.010
336.00,0.009
337.00,0.009
338.00,0.009
339.00,0.009
340.00,0.009
341.00,0.009
342.00,0.009
343.00,0.009
344.00,0.009
345.00,0.009
346.00,0.009
347.00,0.008
348.00,0.008
349.00,0.009
350.00,0.008
351.00,0.008
352.00,0.008
353.00,0.008
354.00,0.008
355.00,0.009
356.00,0.009
357.00,0.008
358.00,0.008
359.00,0.008
360.00,0.008
361.00,0.008
362.00,0.008
363.00,0.007
364.00,0.008
365.00,0.007
366.00,0.008
367.00,0.008
368.00,0.008
369.00,0.008
370.00,0.008
371.00,0.008
372.00,0.007
373.00,0.007
374.00,0.008
375.00,0.008
376.00,0.007
377.00,0.008
378.00,0.007
379.00,0.008
380.00,0.007
381.00,0.008
382.00,0.008
383.00,0.007
384.00,0.007
385.00,0.007
386.00,0.007
387.00,0.007
388.00,0.007
389.00,0.007
390.00,0.007
391.00,0.007
392.00,0.007
393.00,0.007
394.00,0.007
395.00,0.007
396.00,0.007
397.00,0.007
398.00,0.006
399.00,0.007
400.00,0.007
401.00,0.006
402.00,0.006
403.00,0.006
404.00,0.006
405.00,0.006
406.00,0.006
407.00,0.006
408.00,0.006
409.00,0.006
410.00,0.006
411.00,0.006
412.00,0.006
413.00,0.006
414.00,0.006
415.00,0.006
416.00,0.006
417.00,0.006
418.00,0.006
419.00,0.006
420.00,0.006
421.00,0.006
422.00,0.006
423.00,0.006
424.00,0.005
425.00,0.006
426.00,0.005
427.00,0.005
428.00,0.005
429.00,0.005
430.00,0.005
431.00,0.005
432.00,0.005
433.00,0.005
434.00,0.005
435.00,0.005
436.00,0.005
437.00,0.005
438.00,0.005
439.00,0.005
440.00,0.005
441.00,0.005
442.00,0.005
443.00,0.005
444.00,0.005
445.00,0.005
446.00,0.004
447.00,0.005
448.00,0.004
449.00,0.004
450.00,0.005
451.00,0.004
452.00,0.004
453.00,0.004
454.00,0.004
455.00,0.004
456.00,0.004
457.00,0.004
458.00,0.004
459.00,0.004
460.00,0.004
461.00,0.004
462.00,0.004
463.00,0.003
464.00,0.004
465.00,0.004
466.00,0.004
467.00,0.004
468.00,0.004
469.00,0.003
470.00,0.004
471.00,0.004
472.00,0.003
473.00,0.004
474.00,0.003
475.00,0.004
476.00,0.004
477.00,0.003
478.00,0.004
479.00,0.004
480.00,0.003
481.00,0.004
482.00,0.004
483.00,0.004
484.00,0.004
485.00,0.004
486.00,0.004
487.00,0.004
488.00,0.004
489.00,0.004
490.00,0.004
491.00,0.004
492.00,0.004
493.00,0.004
494.00,0.004
495.00,0.004
496.00,0.004
497.00,0.004
498.00,0.004
499.00,0.004
500.00,0.004
