"ZnS小尺寸140℃-20m - RawData"
"波长(nm)","吸收值"
200.00,0.885
201.00,0.850
202.00,1.057
203.00,1.253
204.00,1.536
205.00,1.425
206.00,1.498
207.00,1.462
208.00,1.501
209.00,1.463
210.00,1.365
211.00,1.364
212.00,1.301
213.00,1.328
214.00,1.281
215.00,1.258
216.00,1.229
217.00,1.192
218.00,1.164
219.00,1.138
220.00,1.113
221.00,1.083
222.00,1.055
223.00,1.018
224.00,0.983
225.00,0.946
226.00,0.904
227.00,0.868
228.00,0.830
229.00,0.797
230.00,0.768
231.00,0.740
232.00,0.721
233.00,0.704
234.00,0.689
235.00,0.675
236.00,0.658
237.00,0.639
238.00,0.618
239.00,0.597
240.00,0.579
241.00,0.568
242.00,0.568
243.00,0.577
244.00,0.596
245.00,0.622
246.00,0.649
247.00,0.671
248.00,0.686
249.00,0.697
250.00,0.705
251.00,0.713
252.00,0.725
253.00,0.740
254.00,0.752
255.00,0.755
256.00,0.744
257.00,0.717
258.00,0.675
259.00,0.622
260.00,0.559
261.00,0.494
262.00,0.433
263.00,0.372
264.00,0.317
265.00,0.270
266.00,0.230
267.00,0.195
268.00,0.167
269.00,0.142
270.00,0.122
271.00,0.106
272.00,0.092
273.00,0.082
274.00,0.071
275.00,0.063
276.00,0.056
277.00,0.051
278.00,0.046
279.00,0.043
280.00,0.038
281.00,0.034
282.00,0.033
283.00,0.029
284.00,0.027
285.00,0.026
286.00,0.024
287.00,0.022
288.00,0.021
289.00,0.019
290.00,0.018
291.00,0.018
292.00,0.017
293.00,0.016
294.00,0.016
295.00,0.015
296.00,0.015
297.00,0.015
298.00,0.013
299.00,0.014
300.00,0.014
301.00,0.013
302.00,0.014
303.00,0.012
304.00,0.012
305.00,0.012
306.00,0.012
307.00,0.013
308.00,0.012
309.00,0.012
310.00,0.011
311.00,0.011
312.00,0.010
313.00,0.011
314.00,0.011
315.00,0.010
316.00,0.011
317.00,0.010
318.00,0.011
319.00,0.011
320.00,0.010
321.00,0.010
322.00,0.010
323.00,0.010
324.00,0.010
325.00,0.010
326.00,0.010
327.00,0.009
328.00,0.009
329.00,0.009
330.00,0.009
331.00,0.009
332.00,0.008
333.00,0.009
334.00,0.008
335.00,0.009
336.00,0.008
337.00,0.008
338.00,0.008
339.00,0.008
340.00,0.008
341.00,0.008
342.00,0.008
343.00,0.008
344.00,0.008
345.00,0.007
346.00,0.008
347.00,0.007
348.00,0.007
349.00,0.007
350.00,0.007
351.00,0.007
352.00,0.007
353.00,0.007
354.00,0.007
355.00,0.007
356.00,0.007
357.00,0.007
358.00,0.007
359.00,0.006
360.00,0.007
361.00,0.007
362.00,0.007
363.00,0.007
364.00,0.007
365.00,0.007
366.00,0.006
367.00,0.007
368.00,0.007
369.00,0.007
370.00,0.006
371.00,0.006
372.00,0.007
373.00,0.006
374.00,0.006
375.00,0.007
376.00,0.006
377.00,0.006
378.00,0.006
379.00,0.007
380.00,0.006
381.00,0.006
382.00,0.006
383.00,0.006
384.00,0.006
385.00,0.006
386.00,0.006
387.00,0.006
388.00,0.006
389.00,0.006
390.00,0.006
391.00,0.006
392.00,0.006
393.00,0.006
394.00,0.006
395.00,0.005
396.00,0.006
397.00,0.006
398.00,0.005
399.00,0.005
400.00,0.005
401.00,0.005
402.00,0.005
403.00,0.005
404.00,0.005
405.00,0.005
406.00,0.005
407.00,0.005
408.00,0.004
409.00,0.005
410.00,0.005
411.00,0.005
412.00,0.005
413.00,0.005
414.00,0.005
415.00,0.005
416.00,0.005
417.00,0.004
418.00,0.005
419.00,0.004
420.00,0.005
421.00,0.004
422.00,0.004
423.00,0.004
424.00,0.004
425.00,0.004
426.00,0.004
427.00,0.004
428.00,0.004
429.00,0.004
430.00,0.004
431.00,0.004
432.00,0.004
433.00,0.004
434.00,0.004
435.00,0.004
436.00,0.004
437.00,0.004
438.00,0.004
439.00,0.004
440.00,0.003
441.00,0.003
442.00,0.003
443.00,0.003
444.00,0.003
445.00,0.003
446.00,0.003
447.00,0.003
448.00,0.003
449.00,0.003
450.00,0.003
451.00,0.003
452.00,0.003
453.00,0.003
454.00,0.003
455.00,0.003
456.00,0.003
457.00,0.003
458.00,0.003
459.00,0.003
460.00,0.003
461.00,0.003
462.00,0.003
463.00,0.002
464.00,0.003
465.00,0.002
466.00,0.003
467.00,0.002
468.00,0.003
469.00,0.002
470.00,0.002
471.00,0.002
472.00,0.002
473.00,0.002
474.00,0.002
475.00,0.002
476.00,0.002
477.00,0.002
478.00,0.002
479.00,0.002
480.00,0.002
481.00,0.002
482.00,0.002
483.00,0.002
484.00,0.002
485.00,0.003
486.00,0.002
487.00,0.002
488.00,0.003
489.00,0.002
490.00,0.002
491.00,0.003
492.00,0.003
493.00,0.003
494.00,0.003
495.00,0.003
496.00,0.003
497.00,0.003
498.00,0.003
499.00,0.003
500.00,0.003
