"ZnS小尺寸90℃ - RawData"
"波长(nm)","吸收值"
200.00,0.414
201.00,0.780
202.00,0.970
203.00,1.239
204.00,1.236
205.00,1.291
206.00,1.268
207.00,1.302
208.00,1.227
209.00,1.189
210.00,1.151
211.00,1.118
212.00,1.087
213.00,1.037
214.00,0.994
215.00,0.934
216.00,0.885
217.00,0.827
218.00,0.776
219.00,0.734
220.00,0.689
221.00,0.655
222.00,0.624
223.00,0.594
224.00,0.567
225.00,0.539
226.00,0.519
227.00,0.501
228.00,0.490
229.00,0.486
230.00,0.490
231.00,0.505
232.00,0.530
233.00,0.569
234.00,0.619
235.00,0.676
236.00,0.736
237.00,0.794
238.00,0.843
239.00,0.876
240.00,0.894
241.00,0.897
242.00,0.883
243.00,0.853
244.00,0.810
245.00,0.758
246.00,0.697
247.00,0.631
248.00,0.564
249.00,0.494
250.00,0.427
251.00,0.366
252.00,0.309
253.00,0.257
254.00,0.211
255.00,0.173
256.00,0.140
257.00,0.114
258.00,0.092
259.00,0.075
260.00,0.061
261.00,0.050
262.00,0.042
263.00,0.037
264.00,0.031
265.00,0.028
266.00,0.025
267.00,0.023
268.00,0.021
269.00,0.020
270.00,0.019
271.00,0.019
272.00,0.017
273.00,0.017
274.00,0.015
275.00,0.014
276.00,0.013
277.00,0.011
278.00,0.010
279.00,0.009
280.00,0.008
281.00,0.007
282.00,0.005
283.00,0.004
284.00,0.003
285.00,0.003
286.00,0.001
287.00,0.000
288.00,-0.000
289.00,-0.001
290.00,-0.002
291.00,-0.002
292.00,-0.002
293.00,-0.003
294.00,-0.003
295.00,-0.003
296.00,-0.004
297.00,-0.003
298.00,-0.004
299.00,-0.004
300.00,-0.003
301.00,-0.004
302.00,-0.003
303.00,-0.003
304.00,-0.004
305.00,-0.004
306.00,-0.004
307.00,-0.004
308.00,-0.004
309.00,-0.003
310.00,-0.004
311.00,-0.005
312.00,-0.004
313.00,-0.005
314.00,-0.005
315.00,-0.005
316.00,-0.005
317.00,-0.005
318.00,-0.005
319.00,-0.006
320.00,-0.005
321.00,-0.005
322.00,-0.005
323.00,-0.005
324.00,-0.005
325.00,-0.005
326.00,-0.004
327.00,-0.005
328.00,-0.005
329.00,-0.005
330.00,-0.005
331.00,-0.004
332.00,-0.005
333.00,-0.005
334.00,-0.005
335.00,-0.005
336.00,-0.005
337.00,-0.005
338.00,-0.005
339.00,-0.005
340.00,-0.005
341.00,-0.005
342.00,-0.005
343.00,-0.005
344.00,-0.004
345.00,-0.005
346.00,-0.004
347.00,-0.005
348.00,-0.004
349.00,-0.004
350.00,-0.004
351.00,-0.005
352.00,-0.004
353.00,-0.004
354.00,-0.004
355.00,-0.004
356.00,-0.005
357.00,-0.004
358.00,-0.004
359.00,-0.004
360.00,-0.004
361.00,-0.004
362.00,-0.004
363.00,-0.004
364.00,-0.003
365.00,-0.003
366.00,-0.003
367.00,-0.003
368.00,-0.003
369.00,-0.003
370.00,-0.003
371.00,-0.003
372.00,-0.003
373.00,-0.003
374.00,-0.003
375.00,-0.003
376.00,-0.003
377.00,-0.002
378.00,-0.003
379.00,-0.002
380.00,-0.003
381.00,-0.002
382.00,-0.002
383.00,-0.003
384.00,-0.002
385.00,-0.002
386.00,-0.002
387.00,-0.002
388.00,-0.002
389.00,-0.002
390.00,-0.002
391.00,-0.002
392.00,-0.002
393.00,-0.002
394.00,-0.002
395.00,-0.002
396.00,-0.002
397.00,-0.002
398.00,-0.002
399.00,-0.002
400.00,-0.002
401.00,-0.003
402.00,-0.002
403.00,-0.002
404.00,-0.002
405.00,-0.002
406.00,-0.002
407.00,-0.002
408.00,-0.002
409.00,-0.002
410.00,-0.002
411.00,-0.002
412.00,-0.002
413.00,-0.002
414.00,-0.002
415.00,-0.002
416.00,-0.002
417.00,-0.002
418.00,-0.002
419.00,-0.002
420.00,-0.002
421.00,-0.002
422.00,-0.002
423.00,-0.002
424.00,-0.002
425.00,-0.002
426.00,-0.002
427.00,-0.002
428.00,-0.001
429.00,-0.002
430.00,-0.002
431.00,-0.002
432.00,-0.002
433.00,-0.001
434.00,-0.001
435.00,-0.002
436.00,-0.001
437.00,-0.001
438.00,-0.001
439.00,-0.002
440.00,-0.002
441.00,-0.002
442.00,-0.002
443.00,-0.002
444.00,-0.002
445.00,-0.001
446.00,-0.001
447.00,-0.001
448.00,-0.001
449.00,-0.002
450.00,-0.001
451.00,-0.002
452.00,-0.002
453.00,-0.001
454.00,-0.001
455.00,-0.002
456.00,-0.001
457.00,-0.001
458.00,-0.001
459.00,-0.001
460.00,-0.002
461.00,-0.002
462.00,-0.001
463.00,-0.002
464.00,-0.002
465.00,-0.001
466.00,-0.001
467.00,-0.001
468.00,-0.001
469.00,-0.002
470.00,-0.001
471.00,-0.001
472.00,-0.001
473.00,-0.001
474.00,-0.001
475.00,-0.001
476.00,-0.001
477.00,-0.001
478.00,-0.001
479.00,-0.001
480.00,-0.001
481.00,-0.001
482.00,-0.001
483.00,-0.001
484.00,-0.001
485.00,-0.000
486.00,-0.000
487.00,-0.000
488.00,-0.000
489.00,-0.000
490.00,-0.000
491.00,0.000
492.00,-0.000
493.00,0.000
494.00,0.000
495.00,0.000
496.00,0.000
497.00,0.000
498.00,0.000
499.00,0.000
500.00,0.000
