"小ZnS - RawData"
"波长(nm)","吸收值"
366.50,-0.01497
367.00,-0.01488
367.50,-0.01460
368.00,-0.01451
368.50,-0.01431
369.00,-0.01458
369.50,-0.01465
370.00,-0.01467
370.50,-0.01463
371.00,-0.01453
371.50,-0.01463
372.00,-0.01550
372.50,-0.01531
373.00,-0.01550
373.50,-0.01518
374.00,-0.01529
374.50,-0.01538
375.00,-0.01536
375.50,-0.01541
376.00,-0.01529
376.50,-0.01555
377.00,-0.01558
377.50,-0.01583
378.00,-0.01554
378.50,-0.01531
379.00,-0.01523
379.50,-0.01538
380.00,-0.01578
380.50,-0.01610
381.00,-0.01612
381.50,-0.01600
382.00,-0.01565
382.50,-0.01585
383.00,-0.01576
383.50,-0.01597
384.00,-0.01583
384.50,-0.01610
385.00,-0.01603
385.50,-0.01638
386.00,-0.01634
386.50,-0.01652
387.00,-0.01634
387.50,-0.01638
388.00,-0.01628
388.50,-0.01617
389.00,-0.01624
389.50,-0.01627
390.00,-0.01658
390.50,-0.01662
391.00,-0.01676
391.50,-0.01654
392.00,-0.01651
392.50,-0.01664
393.00,-0.01660
393.50,-0.01666
394.00,-0.01662
394.50,-0.01697
395.00,-0.01704
395.50,-0.01704
396.00,-0.01694
396.50,-0.01699
397.00,-0.01682
397.50,-0.01683
398.00,-0.01676
398.50,-0.01682
399.00,-0.01693
399.50,-0.01729
400.00,-0.01748
400.50,-0.01745
401.00,-0.01721
401.50,-0.01739
402.00,-0.01729
402.50,-0.01741
403.00,-0.01737
403.50,-0.01747
404.00,-0.01737
404.50,-0.01749
405.00,-0.01762
405.50,-0.01762
406.00,-0.01750
406.50,-0.01717
407.00,-0.01725
407.50,-0.01739
408.00,-0.01769
408.50,-0.01772
409.00,-0.01768
409.50,-0.01789
410.00,-0.01799
410.50,-0.01790
411.00,-0.01787
411.50,-0.01777
412.00,-0.01794
412.50,-0.01790
413.00,-0.01802
413.50,-0.01803
414.00,-0.01806
414.50,-0.01797
415.00,-0.01787
415.50,-0.01777
416.00,-0.01776
416.50,-0.01780
417.00,-0.01782
417.50,-0.01792
418.00,-0.01797
418.50,-0.01807
419.00,-0.01798
419.50,-0.01796
420.00,-0.01788
420.50,-0.01782
421.00,-0.01770
421.50,-0.01752
422.00,-0.01756
422.50,-0.01757
423.00,-0.01760
423.50,-0.01759
424.00,-0.01752
424.50,-0.01766
425.00,-0.01775
425.50,-0.01788
426.00,-0.01796
426.50,-0.01798
427.00,-0.01801
427.50,-0.01793
428.00,-0.01800
428.50,-0.01789
429.00,-0.01797
429.50,-0.01793
430.00,-0.01805
430.50,-0.01807
431.00,-0.01802
431.50,-0.01795
432.00,-0.01803
432.50,-0.01817
433.00,-0.01831
433.50,-0.01833
434.00,-0.01827
434.50,-0.01820
435.00,-0.01815
435.50,-0.01823
436.00,-0.01831
436.50,-0.01832
437.00,-0.01828
437.50,-0.01835
438.00,-0.01845
438.50,-0.01857
439.00,-0.01854
439.50,-0.01852
440.00,-0.01851
440.50,-0.01868
441.00,-0.01864
441.50,-0.01862
442.00,-0.01858
442.50,-0.01872
443.00,-0.01882
443.50,-0.01890
444.00,-0.01889
444.50,-0.01901
445.00,-0.01874
445.50,-0.01883
446.00,-0.01874
446.50,-0.01894
447.00,-0.01885
447.50,-0.01897
448.00,-0.01909
448.50,-0.01918
449.00,-0.01911
449.50,-0.01911
450.00,-0.01916
450.50,-0.01942
451.00,-0.01932
451.50,-0.01943
452.00,-0.01932
452.50,-0.01985
